seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
32,1,2,1,0,0,1,0,0,1,
66,1,4,1,0,0,0,0,0,0,
5,1,6,1,0,0,0,0,1,,
30,1,8,1,0,0,0,0,0,0,
49,1,10,1,0,0,0,0,0,0,
12,1,12,1,0,0,0,0,,1,
64,1,14,1,,,,1,0,0,
41,1,16,1,0,0,0,0,0,0,
52,1,18,1,0,0,0,0,0,0,
26,1,20,1,0,0,1,0,0,0,
55,1,22,1,0,1,1,0,0,0,
40,1,24,1,0,0,0,0,,1,
34,1,26,1,0,0,0,0,0,1,
29,1,28,1,0,0,0,1,1,1,
62,1,30,1,0,0,1,0,0,0,
46,1,32,1,0,0,1,0,0,0,
42,2,1,1,0,0,1,1,,1,
67,2,3,1,0,0,1,1,0,0,
60,2,5,1,0,0,0,0,0,1,
26,2,7,1,0,0,1,1,0,0,
48,2,9,1,0,0,0,0,0,1,
19,2,11,1,0,0,1,0,,1,
32,2,13,1,0,1,1,0,0,1,
44,2,15,1,0,0,0,1,1,1,
38,2,17,1,0,0,1,0,0,1,
41,2,19,1,0,0,1,0,0,1,
56,2,21,1,0,1,1,0,0,0,
6,2,23,1,0,,1,1,1,1,
14,2,25,1,0,1,0,0,,1,
17,2,27,1,0,0,0,1,1,1,
64,2,29,1,0,,1,1,0,1,
30,2,31,1,0,0,1,0,0,0,
51,3,2,1,0,0,0,0,0,1,
23,3,4,1,0,0,,1,0,1,
30,3,6,1,0,1,1,0,0,0,
44,3,8,1,0,0,0,0,0,1,
47,3,10,1,0,0,0,0,0,0,
59,3,12,1,0,0,1,0,1,0,
50,3,14,1,0,0,1,0,0,0,
46,3,16,1,0,1,0,0,0,0,
43,3,18,1,0,0,0,0,0,0,
39,3,20,1,0,0,0,0,0,0,
60,3,22,1,0,0,0,0,0,0,
10,3,24,1,0,1,0,1,,1,
29,3,26,1,0,0,0,0,0,0,
42,3,28,1,0,0,1,0,0,1,
28,3,30,1,0,0,0,0,0,0,
11,3,32,1,0,0,1,0,1,0,
33,4,2,1,0,0,1,0,0,1,
51,4,4,1,0,0,0,1,0,1,
16,4,6,1,0,0,0,0,0,0,
9,4,8,1,0,1,0,0,0,0,
20,4,10,1,0,0,0,0,0,0,
12,4,12,1,0,0,1,1,,1,
52,4,14,1,0,0,0,0,0,0,
8,4,16,1,0,1,0,0,0,1,1
34,4,18,1,0,0,1,0,1,1,
10,4,20,1,0,0,0,1,0,1,
21,4,22,1,0,0,0,0,0,1,
