seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
25,1,1,1,887,1093,1362,1591,,204,
47,1,3,1,2418,,229,3040,,296,
19,1,5,1,1467,645,286,492,,317,
40,1,7,1,2618,152,570,211,204,1071,
51,1,9,1,428,2482,1353,583,,409,
66,1,11,1,302,,239,3824,286,679,
44,1,13,1,2475,2431,2690,1870,,167,
35,1,15,1,1127,2569,165,419,194,221,
14,1,17,1,2971,2707,531,202,923,1169,
67,1,19,1,1148,2564,837,1112,1689,1771,
8,1,21,1,5866,2960,1314,1646,1348,1132,
33,1,23,1,1629,564,2394,1124,1370,1824,
32,1,25,1,1711,183,355,1906,788,675,
60,1,27,1,2700,1312,1830,934,453,1161,
15,1,29,1,2475,609,211,1635,213,1500,
18,1,31,1,1346,211,289,141,803,1194,
33,2,1,1,969,921,751,886,801,679,
19,2,3,1,944,855,777,431,589,964,
12,2,5,1,191,314,1066,965,343,89,
18,2,7,1,918,313,139,,,,
57,2,9,1,877,1368,625,818,454,480,
14,2,11,1,,943,442,204,175,183,
29,2,13,1,1254,989,1009,538,498,405,
21,2,15,1,714,745,608,166,583,941,
46,2,17,1,1047,1153,1193,775,503,620,
53,2,19,1,796,1633,768,750,682,609,
37,2,21,1,1299,412,880,892,1090,713,
24,2,23,1,728,835,709,790,552,470,
62,2,25,1,762,931,1010,1076,775,693,
31,2,27,1,1229,1009,804,958,595,125,
17,2,29,1,250,1592,466,199,82,808,
9,2,31,1,693,651,151,1012,512,751,
50,3,1,1,466,415,1694,2095,,179,
58,3,3,1,3738,435,2565,260,,202,
19,3,5,1,2427,992,2119,3365,1350,220,
53,3,7,1,3172,1043,2873,635,1372,1521,
43,3,9,1,2132,2438,369,253,,442,
11,3,11,1,6201,2187,488,135,,344,
24,3,13,1,3645,2500,2768,3746,,187,
30,3,15,1,4914,1591,271,1777,1723,1365,
68,3,17,1,4678,377,176,267,785,927,
9,3,19,1,6276,133,991,679,2257,2222,
33,3,21,1,3950,2009,2385,1971,2041,1127,
25,3,23,1,1219,189,2794,2032,1195,1920,
5,3,25,1,5139,1308,721,1665,,195,
17,3,27,1,3669,1768,262,126,710,293,
10,3,29,1,1941,174,187,185,139,300,
51,3,31,1,2604,229,245,185,603,196,
61,4,1,1,1736,2256,2210,1342,,152,
55,4,3,1,2529,973,207,1717,,122,
12,4,5,1,2148,1707,1316,1539,1460,1371,
45,4,7,1,1347,389,493,975,144,179,
67,4,9,1,1383,1423,1988,1311,240,184,
10,4,11,1,1447,2060,295,1786,,176,
57,4,13,1,691,1624,662,1856,,148,
40,4,15,1,562,125,1466,1485,382,1079,
24,4,17,1,1428,1222,1427,1222,1105,1849,
42,4,19,1,1688,3749,1701,1033,1208,1300,
66,4,21,1,1518,,202,203,385,1225,
11,4,23,1,1782,2484,1502,1912,1301,1875,
38,4,25,1,1555,1577,1984,2057,,116,
6,4,27,1,2367,2228,2123,2135,196,363,
30,4,29,1,714,1207,1415,501,153,1332,
60,4,31,1,581,1316,164,2173,1391,1094,
18,5,1,1,3062,190,2284,881,800,182,366
53,5,3,1,466,648,626,763,,540,
55,5,5,1,1968,776,212,848,1828,1039,
59,5,7,1,1072,639,412,124,776,1072,
24,5,9,1,2630,471,145,1380,321,,469
41,5,11,1,1288,2406,599,115,,276,
60,5,13,1,1905,,426,927,,301,
16,5,15,1,2348,853,140,289,186,168,
30,5,17,1,535,257,1177,292,1283,1974,
49,5,19,1,667,159,2093,,356,1804,
54,5,21,1,1885,581,280,1047,1103,109,
39,5,23,1,236,636,724,177,2175,391,
56,5,25,1,1114,285,173,2418,690,1018,
48,5,27,1,470,431,317,153,137,,
15,5,29,1,4321,812,728,739,208,395,
45,5,31,1,1113,1019,,169,880,1340,
11,6,1,1,2249,3067,2585,1882,,339,
55,6,3,1,2013,1155,1998,1530,,352,
41,6,5,1,2161,2276,,409,1225,1765,
34,6,7,1,2201,2469,143,123,1348,299,
19,6,9,1,2153,529,1397,788,226,294,
18,6,11,1,3240,2642,2256,298,174,429,
29,6,13,1,3288,1619,3480,2593,1409,1780,
66,6,15,1,1587,2480,194,1089,350,1159,
59,6,17,1,1174,871,491,2191,655,3017,
26,6,19,1,2106,3292,2398,1396,378,2562,
52,6,21,1,2493,,229,1515,,340,
64,6,23,1,2071,2089,2027,1713,,117,
27,6,25,1,3039,2395,2096,2635,1208,1751,
54,6,27,1,2211,3950,151,1481,182,381,
13,6,29,1,4648,2108,1151,1331,2544,3107,
6,6,31,1,3052,1962,2454,,93,2368,
43,7,1,1,462,318,1415,1557,1465,,
65,7,3,1,2956,2638,1708,2339,,140,
51,7,5,1,257,472,2385,1369,795,2198,
35,7,7,1,1192,1570,2413,2714,1109,868,
5,7,9,1,1701,127,159,,193,232,
11,7,11,1,2157,575,565,224,229,479,
24,7,13,1,357,198,175,912,624,211,
68,7,15,1,1695,1661,2053,1873,953,318,
23,7,17,1,1635,195,658,976,1906,918,
10,7,19,1,420,194,6035,231,2448,514,
9,7,21,1,2797,3398,2163,1915,277,140,
49,7,23,1,412,2614,835,81,1816,484,
16,7,25,1,2439,601,2789,738,889,256,
37,7,27,1,1093,2157,2220,1421,990,597,
45,7,29,1,1236,3099,1650,2372,1615,604,312
28,7,31,1,2458,2228,846,145,1001,1403,
13,8,1,1,1382,344,124,237,557,150,
42,8,3,1,1197,799,379,979,,276,
57,8,5,1,360,302,96,153,107,1121,
49,8,7,1,490,134,142,844,528,1746,
44,8,9,1,686,966,285,935,266,202,
62,8,11,1,911,2003,593,210,139,159,
33,8,13,1,1482,861,543,1342,354,223,150
51,8,15,1,697,725,1005,81,755,767,
28,8,17,1,1197,486,969,1035,716,281,
18,8,19,1,1347,591,217,480,864,1383,
5,8,21,1,2221,1123,1433,292,177,91,
21,8,23,1,986,1176,1015,701,150,1242,
58,8,25,1,1117,130,902,1082,304,334,
46,8,27,1,1477,182,313,193,168,337,
56,8,29,1,1188,448,181,181,157,1036,
9,8,31,1,2103,1358,1117,721,637,798,
13,9,1,1,3131,2415,1542,1910,,142,
49,9,3,1,3043,1159,171,1924,,467,
23,9,5,1,2324,,166,1662,1897,2147,
42,9,7,1,1696,1473,2119,2384,1586,991,
9,9,9,1,1315,1561,,144,,423,
35,9,11,1,1746,2259,187,151,,264,
5,9,13,1,3318,2344,2346,1807,,173,
62,9,15,1,1225,1443,1260,145,1094,952,
27,9,17,1,2277,208,224,3837,1325,2216,
53,9,19,1,2993,411,2625,1664,377,1823,
57,9,21,1,1966,4922,1611,1050,456,179,
22,9,23,1,1622,1531,1734,2051,1110,1592,
19,9,25,1,2163,1702,1352,2113,,114,
40,9,27,1,1873,1793,168,1171,470,155,
34,9,29,1,3130,105,238,1653,1647,1598,
33,9,31,1,1621,752,420,1034,957,154,
26,10,1,1,2483,2187,161,1431,,263,
23,10,3,1,2567,2047,2357,1228,,167,
21,10,5,1,1710,1265,1379,1270,936,1139,
66,10,7,1,1972,1389,1714,1485,836,182,
17,10,9,1,1953,1477,1192,906,220,174,
16,10,11,1,1738,287,2935,150,528,192,
30,10,13,1,2284,1538,1906,1302,1196,1136,
19,10,15,1,,2630,156,346,186,1833,
32,10,17,1,1500,2553,1974,1363,1987,1724,
53,10,19,1,1303,1844,2792,1026,1347,1477,
39,10,21,1,3344,1701,2006,1300,,82,
51,10,23,1,1778,1853,3236,2486,1152,1604,
62,10,25,1,1770,1488,1692,1322,,161,
61,10,27,1,2168,1875,1341,850,138,577,
10,10,29,1,,2821,744,1430,1535,1049,
56,10,31,1,3150,1853,372,1268,,180,
22,11,1,1,1899,2775,1974,1335,,108,
12,11,3,1,2143,1410,2855,1382,1130,2318,
25,11,5,1,2099,1470,1199,941,1538,1000,
51,11,7,1,2507,1286,1908,1306,1443,2038,
18,11,9,1,2195,2290,1776,1148,196,,153
47,11,11,1,3647,4624,1554,875,96,174,
8,11,13,1,4666,5096,1742,1270,1254,1142,
54,11,15,1,4052,185,1464,421,918,1382,
41,11,17,1,1672,1861,2067,1061,819,1711,
5,11,19,1,3089,1582,2124,877,1772,2453,
9,11,21,1,4031,2137,1329,1619,633,144,
36,11,23,1,2015,1006,1679,1201,969,776,
14,11,25,1,1992,1773,1742,2203,992,1077,
62,11,27,1,2552,1582,157,1278,169,154,
53,11,29,1,2174,443,1636,1184,1103,1402,
30,11,31,1,7513,2445,2595,1156,917,876,
24,12,1,1,1207,1530,206,531,577,687,
34,12,3,1,,351,1039,1124,,224,
7,12,5,1,,555,575,707,,1024,
33,12,7,1,848,192,863,750,347,607,
53,12,9,1,1504,198,706,367,,172,
6,12,11,1,1644,116,216,600,,215,
21,12,13,1,1696,211,1232,658,,88,
56,12,15,1,796,937,687,421,215,132,
40,12,17,1,1059,666,1323,410,160,968,
60,12,19,1,1782,557,2338,428,520,1780,
45,12,21,1,237,1743,215,579,227,125,
22,12,23,1,1987,1001,641,596,286,678,
63,12,25,1,967,677,1189,934,394,1331,
19,12,27,1,1348,893,761,395,268,726,
15,12,29,1,130,172,1373,598,552,805,
47,12,31,1,234,412,439,528,141,1726,
66,13,1,1,2252,134,144,1194,1085,1162,
59,13,3,1,3359,1892,270,698,944,810,
51,13,5,1,4667,2346,1905,1379,1049,983,
16,13,7,1,1045,366,209,2091,1822,804,
62,13,9,1,1674,2430,1765,990,1125,811,
13,13,11,1,2593,1460,1606,270,,241,
56,13,13,1,2953,1857,2305,223,,271,
18,13,15,1,1096,1336,1590,251,485,1118,
43,13,17,1,2606,2490,1814,1529,210,948,
37,13,19,1,2825,2542,2542,136,618,,
57,13,21,1,3086,1824,1502,1814,1077,729,
49,13,23,1,2927,1527,3427,1971,1114,1015,
50,13,25,1,5018,3704,328,4355,967,953,
45,13,27,1,3793,1548,270,1972,97,475,
52,13,29,1,3818,1537,2610,1259,1135,1070,
19,13,31,1,4954,3043,1849,955,879,1935,
43,14,1,1,1262,1332,584,283,975,815,
51,14,3,1,1556,1376,1294,1064,,158,
15,14,5,1,1470,1079,1066,833,1710,970,
49,14,7,1,1200,634,1146,182,1225,923,
41,14,9,1,804,1460,912,575,172,135,
61,14,11,1,933,,150,542,,255,
21,14,13,1,1506,948,1002,742,,178,
39,14,15,1,967,811,1125,1599,1640,1005,
14,14,17,1,1341,1002,1255,1234,903,2259,
31,14,19,1,1167,1041,1426,725,870,649,
12,14,21,1,2637,864,1342,940,,121,
53,14,23,1,1290,1213,1212,904,745,1226,
22,14,25,1,1412,1287,1051,1570,,219,
56,14,27,1,1084,834,1129,695,257,176,
26,14,29,1,1557,1307,240,1340,1290,823,
27,14,31,1,1188,1829,1610,1259,1113,1469,
63,15,1,1,1794,507,949,2840,465,921,
41,15,3,1,2676,1561,1905,1808,376,408,
39,15,5,1,1586,279,613,557,472,987,
5,15,7,1,2828,2826,2920,3463,133,1048,
59,15,9,1,2334,1682,1530,1614,,,318
65,15,11,1,2265,1656,2849,1374,,453,
30,15,13,1,817,934,1521,1863,218,304,
43,15,15,1,890,1605,217,284,1199,2174,
8,15,17,1,2183,3272,2740,2279,1091,1453,
27,15,19,1,1023,1188,450,1848,466,1045,
17,15,21,1,1331,433,2093,2217,1174,898,
22,15,23,1,2037,2407,1527,231,1872,1601,
12,15,25,1,3437,3382,2974,2824,911,1459,
9,15,27,1,3279,2993,294,2614,238,129,
19,15,29,1,212,203,1731,701,235,137,282
62,15,31,1,1424,368,2461,192,1384,617,
6,16,1,1,3532,2390,2203,2623,,503,
63,16,3,1,2069,1748,1191,2713,,341,
48,16,5,1,2582,2302,1375,857,1173,1241,
22,16,7,1,1989,2188,1353,136,1434,1880,
35,16,9,1,1591,2304,1941,242,179,242,
14,16,11,1,1277,2460,1428,635,327,969,
15,16,13,1,2200,1749,1887,2154,2074,1839,
53,16,15,1,1219,917,1689,,200,220,
27,16,17,1,1536,162,2137,997,1207,1252,
24,16,19,1,2076,2487,1986,2574,2249,1750,
33,16,21,1,2644,2801,1828,1815,3191,2509,
31,16,23,1,2024,1515,1326,1821,1245,2057,
20,16,25,1,1954,2314,1862,2180,1536,1562,
32,16,27,1,2786,1711,1297,1276,699,2817,
21,16,29,1,4226,2167,2193,2257,327,2329,
66,16,31,1,1610,2135,2637,1321,1158,2859,
28,1,2,2,1516,289,1153,1796,1469,978,
30,1,4,2,1597,2629,296,336,170,1369,
9,1,6,2,1948,315,233,1339,876,334,
64,1,8,2,1278,1614,1328,1255,1333,1567,
12,1,10,2,1462,1507,852,1087,811,820,
45,1,12,2,1251,4509,2390,2565,,207,
57,1,14,2,884,574,1810,2066,335,1443,
50,1,16,2,1145,980,198,1886,1303,793,
58,1,18,2,1087,3838,3248,,153,731,
21,1,20,2,1684,374,296,,151,1523,
7,1,22,2,2545,2239,85,145,1063,1306,
5,1,24,2,3465,2995,2437,1739,,707,
59,1,26,2,2097,529,123,141,1409,625,
68,1,28,2,611,2266,211,2020,148,235,
49,1,30,2,1980,2925,875,1673,1324,1046,
63,1,32,2,830,2260,636,219,1145,952,
39,2,2,2,1722,1037,1645,205,1004,551,
25,2,4,2,1003,1163,797,989,714,434,
54,2,6,2,782,898,279,734,805,680,
34,2,8,2,897,874,662,569,459,240,
5,2,10,2,245,187,327,185,276,,86
65,2,12,2,745,1331,825,351,85,240,
44,2,14,2,1062,493,1368,444,1767,668,
15,2,16,2,306,1538,1629,366,106,166,
27,2,18,2,911,1099,889,435,680,772,
22,2,20,2,1173,1034,1503,1286,634,653,
49,2,22,2,585,1026,873,732,705,479,
52,2,24,2,944,1365,995,410,,196,
16,2,26,2,528,763,1272,122,699,983,
50,2,28,2,866,691,1069,747,977,1132,
11,2,30,2,174,2189,432,142,413,221,
41,2,32,2,805,147,981,893,524,646,
12,3,2,2,4438,1381,1378,2706,,115,
6,3,4,2,4922,2239,371,1649,211,142,
62,3,6,2,3895,2133,3133,2762,823,926,
38,3,8,2,1943,278,1357,1096,1837,227,
44,3,10,2,2049,3023,1481,,238,1150,
49,3,12,2,3070,5927,,207,408,668,321
39,3,14,2,2043,2505,3019,,119,348,
21,3,16,2,249,396,934,715,232,505,
35,3,18,2,2225,4829,1770,2063,1587,1612,
47,3,20,2,5764,352,224,204,235,136,
37,3,22,2,3640,2605,239,1939,400,326,
36,3,24,2,2693,2372,1765,1933,,652,
56,3,26,2,4784,234,1815,251,1946,1432,
8,3,28,2,,457,528,255,192,663,
23,3,30,2,4287,2874,1815,438,1575,917,
34,3,32,2,469,1242,2813,2924,90,130,
31,4,2,2,2087,182,241,130,1345,830,
16,4,4,2,1978,169,254,1688,1550,1270,
52,4,6,2,1412,492,196,418,479,127,
28,4,8,2,1205,1389,512,206,1307,1756,
18,4,10,2,1967,,122,663,276,1774,
51,4,12,2,447,210,163,267,245,,
15,4,14,2,1660,1279,1975,1180,1521,957,
43,4,16,2,897,549,3047,147,1318,995,
63,4,18,2,992,3159,416,296,1082,1416,
23,4,20,2,2054,,352,207,973,1140,
8,4,22,2,2849,2523,,632,1440,288,
65,4,24,2,1972,1243,445,249,222,188,
25,4,26,2,1315,636,130,444,504,157,
49,4,28,2,2215,767,513,206,206,114,
39,4,30,2,538,146,1644,1831,,282,
50,4,32,2,625,1285,337,231,155,842,
46,5,2,2,,1763,3793,479,612,487,
35,5,4,2,548,1475,2167,281,496,197,326
36,5,6,2,450,1252,2477,610,169,,
33,5,8,2,,2062,2823,310,169,,
25,5,10,2,2078,1669,2926,477,160,136,
9,5,12,2,1394,1927,629,2271,,270,
8,5,14,2,4524,2129,655,760,215,590,
34,5,16,2,277,2943,2006,1472,725,212,
62,5,18,2,449,1877,207,,142,818,
38,5,20,2,318,1438,2261,2692,408,365,153
51,5,22,2,3033,151,234,734,1772,2372,
23,5,24,2,2407,396,654,337,,297,
47,5,26,2,1349,323,393,134,980,753,
19,5,28,2,4432,1569,2037,1114,272,353,
17,5,30,2,3790,1800,1611,430,,425,
57,5,32,2,1144,2733,,576,485,,997
32,6,2,2,2645,455,106,1866,2525,1624,
16,6,4,2,2568,2691,633,1500,261,183,
45,6,6,2,1793,1992,1973,1398,1126,,131
60,6,8,2,1398,2066,1773,373,1014,510,
8,6,10,2,2340,3260,2017,1854,2890,2226,
53,6,12,2,1449,2100,2213,1459,,209,
22,6,14,2,1865,1495,1007,865,127,2503,
31,6,16,2,2957,2911,2189,1281,1240,1397,
48,6,18,2,3685,3377,1733,1454,834,2721,
38,6,20,2,3539,1705,2025,2255,984,2289,
67,6,22,2,2165,106,1619,140,1865,1684,
25,6,24,2,2584,2205,1935,1866,,141,
47,6,26,2,2961,2807,1543,1594,1250,1257,
30,6,28,2,3904,2601,2833,1662,1942,2567,
61,6,30,2,3977,2302,2095,1693,1641,1595,
28,6,32,2,2143,2746,279,649,1960,2859,
12,7,2,2,1622,1120,400,279,1050,,
21,7,4,2,3035,1671,289,507,1193,563,98
46,7,6,2,950,2054,2025,2788,2231,1097,224
32,7,8,2,1312,711,465,2308,640,1808,
38,7,10,2,1795,118,1488,2539,1781,3022,
19,7,12,2,483,2229,1403,984,477,445,
42,7,14,2,416,1912,515,2630,1601,345,
67,7,16,2,2568,2223,2551,354,595,113,
63,7,18,2,2615,156,1980,1582,1244,1597,
64,7,20,2,5720,2054,2004,1406,917,1219,
17,7,22,2,2744,265,588,877,350,908,
62,7,24,2,2828,414,1792,1274,,549,
27,7,26,2,2744,367,1323,120,293,195,
20,7,28,2,442,1152,744,1724,1382,198,
26,7,30,2,3142,299,818,175,,783,
53,7,32,2,1362,1142,1881,153,1644,178,435
19,8,2,2,1111,1594,2276,1874,1021,1069,
48,8,4,2,906,643,713,97,117,192,
32,8,6,2,1380,743,413,162,299,128,
22,8,8,2,496,147,821,814,774,,
10,8,10,2,869,166,312,151,1250,1183,
53,8,12,2,860,580,716,171,473,162,257
55,8,14,2,1079,332,136,762,557,,316
24,8,16,2,319,433,696,614,506,940,
12,8,18,2,445,331,304,679,1542,1297,
26,8,20,2,1179,1387,,343,203,290,
15,8,22,2,761,856,864,1224,725,211,
25,8,24,2,1147,763,384,90,,157,
61,8,26,2,1085,191,1090,334,270,1249,
8,8,28,2,1681,1020,692,227,1156,1600,
31,8,30,2,1490,1356,1369,1225,902,964,
63,8,32,2,826,246,160,664,578,538,
61,9,2,2,1828,1833,2907,153,2059,1404,
48,9,4,2,1410,2177,2442,1228,1907,1417,
25,9,6,2,1589,260,158,1445,1364,162,
31,9,8,2,2198,767,164,160,1646,2424,
45,9,10,2,1232,1912,2081,1368,1621,1435,
56,9,12,2,1627,2432,2298,1689,,160,
6,9,14,2,2781,1452,2053,1855,414,1533,
47,9,16,2,1693,2359,2373,1722,1076,913,
36,9,18,2,2159,2212,981,196,1409,1578,
55,9,20,2,1964,2445,1994,2170,1033,1634,
54,9,22,2,1604,1699,1396,148,1693,167,
51,9,24,2,4070,1674,1957,1538,,171,
58,9,26,2,1490,1410,1857,1923,1251,1337,
7,9,28,2,2066,1685,2235,1781,,164,
17,9,30,2,2485,1463,,220,1604,2013,
8,9,32,2,1910,1760,1656,1509,151,878,
49,10,2,2,2105,1912,2708,1993,2440,,
13,10,4,2,1899,3444,1673,1871,153,145,
11,10,6,2,1678,2513,1327,1765,1013,150,
36,10,8,2,1353,3006,1223,945,1079,,
5,10,10,2,2428,690,2113,1458,1644,119,
29,10,12,2,2414,1092,1514,1447,,182,
15,10,14,2,1283,1662,1541,1391,124,902,
38,10,16,2,1498,1873,2602,274,954,1018,
28,10,18,2,1568,2181,1963,1538,1457,1867,
8,10,20,2,2811,1721,2055,1348,,116,
44,10,22,2,2590,1613,1846,1506,1502,564,
31,10,24,2,2561,1485,1701,1156,,350,
40,10,26,2,1714,2494,1833,129,1537,1314,
48,10,28,2,2505,1387,1841,2592,3035,1850,
33,10,30,2,2745,2102,1361,1629,,130,
52,10,32,2,1611,1905,307,1317,171,670,
43,11,2,2,2125,2639,2500,1724,1224,127,337
38,11,4,2,2351,3168,1424,1740,1594,1422,
59,11,6,2,1912,1591,1703,1196,1239,1139,
66,11,8,2,1388,1503,1197,1012,1479,1308,
31,11,10,2,1565,1522,1171,1226,1665,1164,
50,11,12,2,2704,1183,762,1344,1134,529,
