seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
25,1,1,1,1,1,0,0,1,0,
47,1,3,1,1,1,0,0,1,0,
19,1,5,1,1,1,1,0,1,0,
40,1,7,1,1,1,1,1,0,0,
51,1,9,1,0,1,0,1,1,0,
66,1,11,1,,1,0,0,1,0,
44,1,13,1,1,1,0,1,0,0,
35,1,15,1,1,1,1,1,1,0,
14,1,17,1,1,1,1,0,0,0,
67,1,19,1,1,1,0,0,0,0,
8,1,21,1,1,1,0,0,0,0,
33,1,23,1,1,1,0,0,0,0,
32,1,25,1,1,1,0,0,0,0,
60,1,27,1,0,1,1,0,1,0,
15,1,29,1,1,1,0,1,0,0,
18,1,31,1,1,1,1,0,0,0,
33,2,1,1,0,1,0,0,1,0,
19,2,3,1,1,0,0,1,0,0,
12,2,5,1,1,0,0,0,1,0,
18,2,7,1,1,1,0,,0,,
57,2,9,1,0,0,0,0,0,0,
14,2,11,1,,0,1,1,1,0,
29,2,13,1,0,0,0,0,0,0,
21,2,15,1,0,0,0,0,0,0,
46,2,17,1,0,0,0,0,0,0,
53,2,19,1,0,0,0,0,0,0,
37,2,21,1,0,0,0,0,0,0,
24,2,23,1,0,0,0,0,0,0,
62,2,25,1,0,0,0,0,0,0,
31,2,27,1,0,0,0,0,1,0,
17,2,29,1,,0,1,1,0,0,
9,2,31,1,0,0,0,0,0,0,
50,3,1,1,1,0,0,0,1,0,
58,3,3,1,1,1,1,1,1,0,
19,3,5,1,1,0,0,0,1,0,
53,3,7,1,1,0,1,1,0,0,
43,3,9,1,1,1,1,0,1,0,
11,3,11,1,1,1,1,1,0,0,
24,3,13,1,1,1,0,1,1,0,
30,3,15,1,0,1,1,0,0,0,
68,3,17,1,1,1,0,1,1,0,
9,3,19,1,1,1,1,0,0,0,
33,3,21,1,0,0,0,0,0,0,
25,3,23,1,1,0,1,0,0,0,
5,3,25,1,1,1,1,0,1,0,
17,3,27,1,1,1,1,0,1,0,
10,3,29,1,1,1,1,1,1,0,
51,3,31,1,0,1,1,1,1,0,
61,4,1,1,0,0,0,0,1,0,
55,4,3,1,0,1,0,0,1,0,
12,4,5,1,0,0,0,0,0,0,
45,4,7,1,1,1,1,1,1,0,
67,4,9,1,0,0,0,0,1,0,
10,4,11,1,1,1,0,0,1,0,
57,4,13,1,1,1,1,1,0,0,
40,4,15,1,1,0,0,0,0,1,
24,4,17,1,0,0,0,0,0,0,
42,4,19,1,0,0,0,0,0,0,
66,4,21,1,0,1,1,1,0,0,
11,4,23,1,0,0,0,0,0,0,
38,4,25,1,0,0,0,0,1,0,
6,4,27,1,0,0,0,1,1,0,
30,4,29,1,1,1,0,1,0,0,
60,4,31,1,0,1,0,0,0,0,
18,5,1,1,1,1,0,1,1,0,0
53,5,3,1,1,1,0,1,1,0,
55,5,5,1,1,1,0,0,0,0,
59,5,7,1,1,0,1,0,0,0,
24,5,9,1,1,1,0,1,1,0,0
41,5,11,1,0,1,1,1,1,0,
60,5,13,1,1,0,0,0,1,0,
16,5,15,1,1,1,1,1,1,0,
