seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
23,1,1,1,1836,5559,1870,,3241,2901,
39,1,3,1,2328,1254,1750,1676,1523,1720,
5,1,5,1,3190,1513,1321,1384,1188,1647,
41,1,7,1,3101,1989,2688,1809,365,3793,
43,1,9,1,2379,3759,817,771,,2583,
52,1,11,1,855,2113,757,2339,161,1954,
64,1,13,1,731,582,4097,1383,155,3222,
31,1,15,1,1899,,3560,1570,1232,2009,
32,1,17,1,1891,,1073,3239,1164,2275,
61,1,19,1,871,4467,2777,2720,3060,3904,
19,1,21,1,4887,1946,1355,1305,1547,1472,
44,1,23,1,1989,1442,1733,1273,1119,1715,
35,1,25,1,1612,4621,1550,2413,1306,3226,
28,1,27,1,965,4599,1445,1869,1439,3719,
24,1,29,1,863,6587,3330,1546,1994,4342,
59,1,31,1,856,1865,3276,1192,1396,2144,
13,2,2,1,1961,1612,1390,992,1005,735,
28,2,4,1,738,1110,569,2364,648,1630,
44,2,6,1,689,5476,1082,844,591,1166,
64,2,8,1,910,1132,1387,669,425,2095,
50,2,10,1,1437,732,1230,493,506,888,
55,2,12,1,924,1548,2443,638,,1494,
53,2,14,1,942,883,819,732,602,751,
17,2,16,1,900,1995,593,636,613,655,
33,2,18,1,881,3098,1258,977,1118,1696,
46,2,20,1,1276,579,940,1227,904,815,
59,2,22,1,1550,634,734,526,865,1027,
32,2,24,1,1302,634,1031,489,,2242,
43,2,26,1,1786,994,1026,773,600,792,
15,2,28,1,2301,1151,2452,697,996,1533,
27,2,30,1,1235,1858,1323,1577,797,620,
5,2,32,1,1374,2713,,2458,865,544,
36,3,1,1,1820,3528,,1946,569,1671,
29,3,3,1,2804,,3930,1734,2360,3121,
61,3,5,1,535,2789,1564,1709,2067,2361,
48,3,7,1,1913,1290,1422,1407,422,3719,
44,3,9,1,466,6181,,2525,427,5532,
39,3,11,1,3554,1003,3725,648,,2433,
35,3,13,1,2080,,4790,995,1282,4613,
57,3,15,1,503,1247,1230,3520,918,2020,
38,3,17,1,718,820,9398,1134,607,3522,
27,3,19,1,774,2232,7190,749,758,5383,
43,3,21,1,462,2220,269,878,835,2888,
68,3,23,1,562,1107,864,1953,1232,3348,
60,3,25,1,2538,,205,4043,1380,2589,
66,3,27,1,3186,1065,1691,2251,1844,9339,
13,3,29,1,1165,2747,905,4204,,7002,
34,3,31,1,870,1547,1092,3903,1287,3111,
42,4,2,1,4271,1700,1514,131,922,1286,1587
38,4,4,1,5482,3758,2856,1478,1070,1424,
43,4,6,1,12046,,1521,1534,2749,721,
18,4,8,1,4948,2906,2776,373,2869,4604,
13,4,10,1,3433,3482,2169,1886,2406,1996,
65,4,12,1,3651,693,3995,2191,1515,1758,
61,4,14,1,5901,128,327,403,1553,582,
20,4,16,1,2491,3067,2582,1847,2165,1016,
55,4,18,1,2420,2658,2316,1226,403,2906,
62,4,20,1,3438,2217,1352,1928,1181,,
16,4,22,1,5732,3252,4575,2214,1539,2348,
28,4,24,1,5569,1157,998,1496,,4306,
17,4,26,1,,10960,1393,1673,2043,1197,
7,4,28,1,14163,1535,3891,5001,653,8836,
37,4,30,1,5529,1969,2824,1622,1852,836,
46,4,32,1,6078,7574,1168,325,714,534,
41,5,1,1,1934,2664,1762,270,782,1725,
8,5,3,1,2750,2681,1514,955,2290,2143,
30,5,5,1,2978,,1307,697,,1570,
38,5,7,1,2458,1729,,1376,905,868,
21,5,9,1,2088,1637,1439,1028,744,849,
35,5,11,1,2606,,3511,,754,843,
10,5,13,1,3718,1084,1920,1532,1328,515,
32,5,15,1,1809,1010,1943,833,336,3406,
16,5,17,1,1358,1386,1247,1868,1713,2752,
64,5,19,1,2837,2054,2275,945,4974,965,
52,5,21,1,1898,946,85,2291,,2191,
28,5,23,1,2822,,1995,681,830,1093,
23,5,25,1,1694,2223,1693,1499,499,1193,
15,5,27,1,740,4040,1039,923,1363,3730,
14,5,29,1,4443,1264,1340,564,3601,1029,
