seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
25,1,1,1,887,7107,1362,1591,,6479,
47,1,3,1,2418,,4893,3040,,4807,
19,1,5,1,1467,645,2625,3492,,5155,
40,1,7,1,2618,152,2347,2102,3046,6013,
51,1,9,1,428,2482,1353,583,,3311,
66,1,11,1,302,,4910,3824,286,4343,
44,1,13,1,2475,2431,2690,1870,,5602,
35,1,15,1,1127,2569,165,4425,510,3099,
14,1,17,1,2971,2707,4329,5493,923,3351,
67,1,19,1,1148,2820,7494,1112,2729,1985,
8,1,21,1,5866,2960,2968,1646,1348,3452,
33,1,23,1,1629,3748,2394,1124,1370,2950,
32,1,25,1,1711,183,4466,1906,788,2388,
60,1,27,1,2700,1312,1830,934,453,5912,
15,1,29,1,2475,1274,3796,1635,1876,1500,
18,1,31,1,1346,2607,1145,3346,803,2113,
33,2,1,1,969,921,751,886,801,941,
19,2,3,1,944,855,777,899,2912,964,
12,2,5,1,191,982,1066,965,343,1926,
18,2,7,1,918,941,972,,,,
57,2,9,1,877,1368,625,818,454,934,
14,2,11,1,,943,442,1543,529,1667,
29,2,13,1,1254,989,1009,538,1287,405,
21,2,15,1,714,745,608,1004,583,941,
46,2,17,1,1047,1153,1193,775,503,620,
53,2,19,1,796,1633,768,750,682,609,
37,2,21,1,1299,412,880,892,1090,713,
24,2,23,1,728,835,709,790,552,470,
62,2,25,1,762,931,1010,1076,775,693,
31,2,27,1,1229,1009,804,958,595,1619,
17,2,29,1,250,1592,466,1303,1332,808,
9,2,31,1,693,651,2142,1012,512,1075,
50,3,1,1,466,6252,1694,2095,,5307,
58,3,3,1,3738,4344,2565,260,,6869,
19,3,5,1,2427,2080,2119,3365,1350,4875,
53,3,7,1,3172,4367,2873,2294,1873,1521,
43,3,9,1,2132,2438,369,3679,,5141,
11,3,11,1,6201,2187,3661,7926,,4176,
24,3,13,1,3645,2500,3859,6605,,4747,
30,3,15,1,4914,1591,2273,1777,1723,1365,
68,3,17,1,4678,377,4191,267,1662,1165,
9,3,19,1,6276,5001,3348,2809,2257,2222,
33,3,21,1,3950,2009,2385,1971,2041,1127,
25,3,23,1,1219,5003,2794,2894,1195,2258,
5,3,25,1,5139,4016,4848,1665,,5324,
17,3,27,1,3669,1768,1085,3663,710,4008,
10,3,29,1,1941,4148,776,4821,2951,5126,
51,3,31,1,2604,229,1583,4816,1376,2486,
61,4,1,1,1736,2256,2210,1342,,2741,
55,4,3,1,2529,973,3653,1717,,3402,
12,4,5,1,2148,1707,1316,1539,1460,1371,
45,4,7,1,1347,915,1765,1723,1734,2735,
67,4,9,1,1383,1423,1988,1311,240,2527,
10,4,11,1,1447,2060,2699,1786,,3338,
57,4,13,1,691,1624,2030,7034,,3555,
40,4,15,1,562,1731,1466,1485,1849,1079,
24,4,17,1,1428,1222,1427,1222,1105,1849,
42,4,19,1,1688,3749,1701,1033,1208,1300,
66,4,21,1,1518,,2113,976,2623,1225,
11,4,23,1,1782,2484,1502,1912,1301,1875,
38,4,25,1,1555,1577,1984,2057,,3014,
6,4,27,1,2367,2228,2123,2135,196,5675,
30,4,29,1,714,2546,4399,501,3391,1332,
60,4,31,1,581,1316,3667,2173,1391,1094,
18,5,1,1,3062,5534,3212,881,800,1408,1819
53,5,3,1,466,2112,3211,763,,3887,
55,5,5,1,1968,2503,2120,2756,1828,1039,
59,5,7,1,1072,2092,412,2348,776,1072,
24,5,9,1,2630,2017,1335,1380,494,,5333
41,5,11,1,1288,2406,599,4090,,1776,
60,5,13,1,1905,,4784,927,,2515,
16,5,15,1,2348,853,1867,1404,711,1906,
30,5,17,1,535,2828,5940,8241,1283,1974,
49,5,19,1,667,2624,2093,,5331,3710,
54,5,21,1,1885,581,4877,1047,1103,4748,
39,5,23,1,236,636,724,4325,6388,2233,
56,5,25,1,1114,552,5894,2418,690,1018,
48,5,27,1,470,3235,317,2802,137,,
15,5,29,1,4321,2035,1334,739,3134,1622,
45,5,31,1,1113,7575,2411,738,880,1340,
11,6,1,1,2249,3067,2585,1882,,4548,
55,6,3,1,2013,1155,1998,1530,,4897,
41,6,5,1,2161,2276,,4241,1225,1765,
34,6,7,1,2201,2469,620,4047,1348,3102,
19,6,9,1,2153,4027,1397,788,226,3982,
18,6,11,1,3240,2642,2256,1718,1252,4387,
29,6,13,1,3288,1619,3480,2593,1409,7263,
66,6,15,1,1587,2480,1913,2212,1912,1159,
59,6,17,1,1174,871,6750,2191,762,3017,
26,6,19,1,2106,3292,2398,1396,2341,2562,
52,6,21,1,2493,,3116,1515,,5140,
64,6,23,1,2071,2089,2027,1713,,3322,
27,6,25,1,3039,2395,2096,2635,1208,9533,
54,6,27,1,2211,3950,2256,1481,182,3254,
13,6,29,1,4648,2108,3564,1331,2544,3107,
6,6,31,1,3052,1962,2454,,4609,2368,
43,7,1,1,462,2558,2405,1557,1465,,
65,7,3,1,2956,2638,1708,2339,,2963,
51,7,5,1,257,2416,3440,1369,1981,4843,
35,7,7,1,1192,2097,2661,2714,1955,6096,
5,7,9,1,1701,1719,5314,,2685,3944,
11,7,11,1,2157,4681,837,,2305,3450,
24,7,13,1,357,3433,4803,2164,1514,211,
68,7,15,1,1695,1661,2053,1873,953,1606,
23,7,17,1,1635,943,7212,976,1906,3354,
10,7,19,1,420,4979,6035,3006,2448,4073,
9,7,21,1,2797,3398,5958,1915,277,3686,
49,7,23,1,412,2614,2996,5332,2908,4370,
16,7,25,1,2439,4658,2789,738,1823,3357,
37,7,27,1,1093,2157,2220,5805,990,750,
45,7,29,1,1236,3099,1650,2372,1615,2630,2300
28,7,31,1,2458,2228,846,3648,14859,1489,
13,8,1,1,1382,344,2146,1214,661,4772,
42,8,3,1,1197,799,379,979,,276,
57,8,5,1,360,1799,429,1168,229,1121,
49,8,7,1,490,542,1402,844,528,2377,
44,8,9,1,686,966,285,935,266,1444,
62,8,11,1,911,2003,593,808,139,159,
33,8,13,1,1482,861,543,1342,354,1167,1497
51,8,15,1,697,725,1005,707,755,1292,
28,8,17,1,1197,486,969,1659,716,2235,
18,8,19,1,1347,591,2513,480,864,2879,
5,8,21,1,2221,1123,1433,292,955,2472,
21,8,23,1,986,1176,1015,701,877,1950,
58,8,25,1,1117,130,902,1082,402,3493,
46,8,27,1,1477,691,313,1442,168,337,
56,8,29,1,1188,2775,1247,1616,1018,2440,
9,8,31,1,2103,1358,1117,721,637,1946,
13,9,1,1,3131,2415,1542,1910,,3779,
49,9,3,1,3043,1761,2861,1924,,4023,
23,9,5,1,2324,,3547,1662,1897,3019,
42,9,7,1,1696,1473,2119,2384,1586,1529,
9,9,9,1,1315,1561,,2843,,3241,
35,9,11,1,1746,2259,2873,1582,,2365,
5,9,13,1,3318,2344,2346,1807,,5732,
62,9,15,1,1225,1443,1260,1241,1094,952,
27,9,17,1,2277,208,3220,3837,1325,3727,
53,9,19,1,2993,2678,2625,1664,3043,2870,
57,9,21,1,1966,4922,1611,1050,883,2884,
22,9,23,1,1622,1531,1734,2051,1110,1592,
19,9,25,1,2163,1702,1352,2113,,3228,
40,9,27,1,1873,1793,1972,1171,470,3712,
34,9,29,1,3130,105,3806,1653,1647,1598,
33,9,31,1,1621,752,1087,3056,957,2137,
26,10,1,1,2483,2187,4103,1431,,3864,
23,10,3,1,2567,2047,2357,1228,,3202,
21,10,5,1,1710,1265,1379,1270,936,1139,
66,10,7,1,1972,1389,1714,1485,836,1341,
17,10,9,1,1953,1477,1192,906,220,2615,
16,10,11,1,1738,4921,2935,2355,528,2952,
30,10,13,1,2284,1538,1906,1302,1196,2332,
19,10,15,1,,2630,3924,1630,1401,1833,
32,10,17,1,1500,2553,1974,1363,2206,2170,
53,10,19,1,1303,1844,2792,1026,1347,1477,
39,10,21,1,3344,1701,2006,1300,,2791,
51,10,23,1,1778,1853,3236,2486,1152,3774,
62,10,25,1,1770,1488,1692,1322,,3051,
61,10,27,1,2168,1875,1341,850,138,577,
10,10,29,1,,2821,7947,1430,1535,1049,
56,10,31,1,3150,1853,7730,1268,,5036,
22,11,1,1,1899,2775,5057,1335,,1924,
12,11,3,1,2143,1410,2855,1382,1130,2432,
25,11,5,1,2099,1470,1199,941,1538,1000,
51,11,7,1,2507,1286,1908,1306,1443,2038,
18,11,9,1,2195,2290,1776,1148,196,,1932
47,11,11,1,3647,5707,1554,875,96,2423,
8,11,13,1,4666,5096,1742,1270,1254,2634,
54,11,15,1,4052,3533,1464,1924,918,1382,
41,11,17,1,1672,1861,2067,1061,819,1711,
5,11,19,1,3089,1582,2124,4821,1772,2679,
9,11,21,1,4031,2137,1329,1619,633,2999,
36,11,23,1,2015,5552,1679,1201,969,776,
14,11,25,1,1992,1773,1742,2203,992,1077,
62,11,27,1,2552,1582,5441,1278,169,3380,
53,11,29,1,2174,3074,1636,1184,1103,1402,
30,11,31,1,7513,5242,2595,1156,917,876,
24,12,1,1,1207,1857,1041,531,577,687,
34,12,3,1,,2943,1039,1124,,1849,
7,12,5,1,,3251,575,707,,2048,
33,12,7,1,848,2485,863,750,347,1296,
53,12,9,1,1504,2458,706,367,,1527,
6,12,11,1,1644,1672,1623,600,,2798,
21,12,13,1,1696,1980,1232,658,,1803,
56,12,15,1,796,937,687,421,2792,1818,
40,12,17,1,1059,666,1323,410,824,1649,
60,12,19,1,1782,557,2338,428,520,1780,
45,12,21,1,237,2975,1408,579,227,1847,
22,12,23,1,1987,1001,641,596,286,893,
63,12,25,1,967,677,1189,934,394,1331,
19,12,27,1,1348,893,761,576,1239,1044,
15,12,29,1,130,2798,1373,598,2246,1371,
47,12,31,1,234,2754,439,2859,141,1726,
66,13,1,1,2252,2490,1267,1194,1085,1162,
59,13,3,1,3359,1892,757,4117,944,810,
51,13,5,1,4667,2346,1905,1379,1049,2588,
16,13,7,1,1045,3889,3506,2091,1822,4940,
62,13,9,1,1674,2430,1765,990,1125,2950,
13,13,11,1,2593,1460,1606,1107,,3209,
56,13,13,1,2953,1857,2509,5575,,2520,
18,13,15,1,1096,1336,1590,2329,2157,1539,
43,13,17,1,2606,4487,1814,1529,1726,948,
37,13,19,1,2825,2542,2542,5956,618,,
57,13,21,1,3086,2249,1502,1814,1077,729,
49,13,23,1,2927,1527,3427,1971,1114,1015,
50,13,25,1,5018,3704,4314,4355,967,1671,
45,13,27,1,3793,1548,1829,1972,480,3000,
52,13,29,1,3818,1537,2610,1259,1135,1070,
19,13,31,1,4954,3043,1849,955,879,2583,
43,14,1,1,1262,1332,584,1522,975,815,
51,14,3,1,1556,1376,1294,1064,,4026,
15,14,5,1,1470,1079,1066,833,1710,4087,
49,14,7,1,1200,634,1146,1006,1225,1308,
41,14,9,1,804,1460,912,575,172,1712,
61,14,11,1,933,,4632,542,,2955,
21,14,13,1,1506,948,1002,742,,3495,
39,14,15,1,967,811,1125,1599,1640,1005,
14,14,17,1,1341,1002,1255,1234,903,3127,
31,14,19,1,1167,1041,1426,725,870,649,
12,14,21,1,2637,864,2652,940,,2086,
53,14,23,1,1290,1213,1212,904,745,2033,
22,14,25,1,1412,1287,1051,1570,,2910,
56,14,27,1,1084,834,1129,695,257,2597,
26,14,29,1,1557,1307,3886,1340,1290,1271,
27,14,31,1,1188,1829,1610,1259,1113,2903,
63,15,1,1,1794,4189,5542,2840,3304,1188,
41,15,3,1,2676,1561,1905,1808,376,2141,
39,15,5,1,1586,2283,2052,557,2502,1431,
5,15,7,1,2828,2826,2920,3463,1568,2220,
59,15,9,1,2334,1682,1530,1614,,,3472
65,15,11,1,2265,1656,2849,1374,,2373,
30,15,13,1,817,5148,1521,1863,1447,4439,
43,15,15,1,890,1605,217,3211,2456,2174,
8,15,17,1,2183,3272,2740,2279,1091,2258,
27,15,19,1,1023,1188,4025,1848,4310,1045,
17,15,21,1,1331,3651,2093,2217,1174,1071,
22,15,23,1,2037,2407,1527,2338,1872,2400,
12,15,25,1,3437,3382,2974,2824,911,1459,
9,15,27,1,3279,2993,2053,2614,238,2877,
19,15,29,1,212,6258,1731,701,3345,137,1676
62,15,31,1,1424,3118,2461,2608,1384,1156,
6,16,1,1,3532,7544,2515,2623,,4005,
63,16,3,1,2069,1748,1191,2713,,7567,
48,16,5,1,2582,2302,1375,3911,1173,1901,
22,16,7,1,1989,2188,1353,2728,1434,2940,
35,16,9,1,1591,2304,1941,1859,179,7174,
14,16,11,1,1277,3312,1428,635,1788,3255,
15,16,13,1,2200,1749,1887,2154,2074,4071,
53,16,15,1,1219,917,1689,,638,8190,
27,16,17,1,1536,3191,2137,997,1207,5824,
24,16,19,1,2076,2487,1986,2574,2721,2321,
33,16,21,1,2644,2801,1828,1815,3191,2746,
31,16,23,1,2024,1515,1326,1821,1245,8205,
20,16,25,1,1954,2314,1862,2180,1536,2342,
32,16,27,1,2786,1711,1297,1276,2056,3496,
21,16,29,1,4226,2167,2193,2257,2284,2329,
66,16,31,1,1610,2135,2637,1321,1158,4403,
28,1,2,2,1516,2563,2300,1796,1469,978,
30,1,4,2,1597,2629,454,2958,2372,5290,
9,1,6,2,1948,3182,8959,1339,876,1265,
64,1,8,2,1278,1614,1328,1255,1333,2608,
12,1,10,2,1462,1507,1848,1087,811,820,
45,1,12,2,1251,4509,2390,2565,,4249,
57,1,14,2,884,3813,1810,2066,2570,4789,
50,1,16,2,1145,980,5876,1886,1303,2423,
58,1,18,2,1087,3838,3248,,4239,1901,
21,1,20,2,1684,904,8148,,6148,1643,
7,1,22,2,2545,2239,85,3123,1063,2925,
5,1,24,2,3465,2995,2437,1739,,13115,
59,1,26,2,2097,529,4074,1592,1409,1667,
68,1,28,2,611,2266,8521,2020,148,6813,
49,1,30,2,1980,2925,3182,1673,1324,1817,
63,1,32,2,830,2260,636,2791,1145,1998,
39,2,2,2,1722,1037,1645,1716,1004,551,
25,2,4,2,1003,1163,797,989,714,434,
54,2,6,2,782,898,2012,734,805,680,
