seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
32,1,2,1,3286,,,,,,
66,1,4,1,,,,,,,
5,1,6,1,,,,809,337,1432,
30,1,8,1,,,,,,,
49,1,10,1,,,,,,,
12,1,12,1,,,,153,1300,,
64,1,14,1,1056,809,1250,,,,
41,1,16,1,,,,,,,
52,1,18,1,,,,,,,
26,1,20,1,1918,131,,,,,
55,1,22,1,144,1307,,,,,
40,1,24,1,,,,,786,,
34,1,26,1,,886,716,113,,,
29,1,28,1,405,1315,775,391,293,,
62,1,30,1,,1418,,,,,
46,1,32,1,,746,,,,,
42,2,1,1,,342,503,,1153,,
67,2,3,1,,317,111,,,,
60,2,5,1,600,271,,,,,
26,2,7,1,270,267,,,,,
48,2,9,1,,211,,,917,,
19,2,11,1,394,3471,,,693,,
32,2,13,1,1750,836,436,,,,
44,2,15,1,,,182,158,96,,
38,2,17,1,278,365,341,,146,,
41,2,19,1,,1648,,,,,
56,2,21,1,423,443,,,,,
6,2,23,1,,507,387,915,648,,
14,2,25,1,330,282,251,,993,,
17,2,27,1,380,428,2127,702,1399,,
64,2,29,1,,989,750,,659,,
30,2,31,1,,1895,,,,,
51,3,2,1,,89,,145,,,
23,3,4,1,,3201,5755,738,2152,,
30,3,6,1,2420,132,,,153,,
44,3,8,1,,,153,,1211,,
47,3,10,1,,,,,,,
59,3,12,1,607,157,,133,,,
50,3,14,1,532,1101,,,,,
46,3,16,1,429,,,,,,
43,3,18,1,,,,,,,
39,3,20,1,297,,,,,,
60,3,22,1,,,,,,,
10,3,24,1,2288,2283,1451,,1407,,
29,3,26,1,,,,,,,
42,3,28,1,5792,8768,171,,,,
28,3,30,1,,,,,,,
11,3,32,1,1442,5151,,343,,,
33,4,2,1,1508,2290,,,,,
51,4,4,1,658,1233,1147,,616,,
16,4,6,1,,,,,,,
9,4,8,1,466,,,,,,
20,4,10,1,,,,,,,
12,4,12,1,1849,1933,2001,,2514,,
52,4,14,1,783,643,996,739,474,,
8,4,16,1,1803,859,1364,1264,497,312,
34,4,18,1,522,1295,516,1431,800,,
10,4,20,1,,1162,,1836,831,,
21,4,22,1,144,204,163,1353,934,,
18,4,24,1,,,,,585,,
67,4,26,1,606,,,,,,
58,4,28,1,1026,545,1052,460,884,,
26,4,30,1,414,1839,1032,,,,
39,4,32,1,,,2486,,,,
30,5,2,1,275,410,,,,,
17,5,4,1,207,538,,,,,
66,5,6,1,774,,,,544,774,
23,5,8,1,1003,1342,865,1354,1238,,
5,5,10,1,329,,,160,,,
37,5,12,1,303,,,,685,,
32,5,14,1,2035,176,,163,412,,
58,5,16,1,,,,603,,,
33,5,18,1,,172,,,,,
11,5,20,1,342,208,,,943,,
60,5,22,1,445,879,714,1235,,,
19,5,24,1,1438,,,190,616,,
48,5,26,1,162,,,,,,
59,5,28,1,139,,,,,,
51,5,30,1,,,,,,,
14,5,32,1,,1761,207,503,,,
11,6,2,1,913,2087,1889,,337,,
5,6,4,1,586,224,2325,,,,
61,6,6,1,,,524,,459,,
7,6,8,1,330,387,1222,,,1921,
38,6,10,1,2758,,,615,,,
62,6,12,1,672,464,,,816,,
15,6,14,1,1416,2889,,357,,,
60,6,16,1,892,605,2680,242,1193,,
