seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
26,1,1,1,761,,,,1003,,
23,1,3,1,371,,422,,1280,,
21,1,5,1,,,,,,,
66,1,7,1,432,,1042,,,,
17,1,9,1,,,160,584,835,,
16,1,11,1,,,,1020,889,,
30,1,13,1,1297,1004,362,371,1624,,
19,1,15,1,347,125,178,,486,,
32,1,17,1,1098,,,,165,,
53,1,19,1,159,298,2492,,,,
39,1,21,1,,1544,918,1935,,,
51,1,23,1,,245,631,,669,,
62,1,25,1,785,,,358,663,,
61,1,27,1,,,1308,2505,850,,
10,1,29,1,322,,,1976,947,,
56,1,31,1,358,,,,676,,
22,2,1,1,,873,317,,1813,,
12,2,3,1,,1417,,136,1802,2028,
25,2,5,1,614,142,,,,,
50,2,7,1,,,,296,,,
18,2,9,1,,,,,1424,,
45,2,11,1,348,261,219,,1869,,
8,2,13,1,161,147,326,,2157,,
53,2,15,1,508,1074,,,,,
39,2,17,1,,,182,,,,
5,2,19,1,3733,2489,596,,,,
9,2,21,1,1307,150,268,,144,,
32,2,23,1,227,,,,,,
14,2,25,1,,2102,,,1426,,
56,2,27,1,588,648,778,,943,,
52,2,29,1,,,,,,,
30,2,31,1,123,,605,,,,
43,3,1,1,970,,768,,616,865,
14,3,3,1,404,,158,616,418,,
54,3,5,1,129,1335,300,151,,,
19,3,7,1,887,778,1797,674,1111,,
65,3,9,1,176,2178,421,,126,1924,
64,3,11,1,1486,2498,2403,,,1568,
31,3,13,1,1083,,1586,,297,1794,413
6,3,15,1,635,,251,171,675,,
48,3,17,1,,132,,,,,
67,3,19,1,,190,625,841,,,
23,3,21,1,,,,,972,,
17,3,23,1,2931,,1577,186,314,,
59,3,25,1,466,1102,868,,421,,
42,3,27,1,150,243,305,345,226,2858,
12,3,29,1,897,574,5155,1126,,1453,
16,3,31,1,2451,1873,,259,355,,
47,4,1,1,2659,,,1307,1775,,
56,4,3,1,743,,984,,692,,
13,4,5,1,658,136,1144,251,190,,
31,4,7,1,1253,350,493,,375,,
44,4,9,1,595,,,458,1048,,
15,4,11,1,585,1536,,603,1188,,
7,4,13,1,138,494,107,,1609,,
37,4,15,1,215,,,,,719,
30,4,17,1,1186,1206,,,1234,,
46,4,19,1,165,2452,1943,2285,617,,
53,4,21,1,1856,593,1121,,,,
33,4,23,1,1685,1349,4002,,,,
6,4,25,1,1657,,144,,1463,,
17,4,27,1,,,252,,1328,,
43,4,29,1,1433,485,,,,,
29,4,31,1,4720,,,,190,,
67,5,1,1,,,,,633,,
60,5,3,1,,,,,,,
52,5,5,1,,,,,,,
17,5,7,1,,,426,329,,,
64,5,9,1,283,194,,,,,
14,5,11,1,2231,88,,,1093,,
57,5,13,1,,,,,,,
19,5,15,1,1931,,350,285,525,101,
45,5,17,1,281,1119,,,737,,
38,5,19,1,,224,,,137,,
59,5,21,1,,,,,,,
50,5,23,1,455,,,,90,,
51,5,25,1,198,,,,,,
48,5,27,1,,114,1016,97,1516,,
56,5,29,1,2216,,,,,,
20,5,31,1,806,,1292,835,369,,
44,6,1,1,542,602,375,,1034,,
32,6,3,1,767,904,,,,,
25,6,5,1,164,101,,547,223,,
18,6,7,1,742,703,1102,934,260,,
6,6,9,1,895,1412,1534,736,2959,,
14,6,11,1,,353,438,279,1920,,
41,6,13,1,224,541,,,481,,
56,6,15,1,741,1330,1016,237,,,
7,6,17,1,437,1190,,,,,
31,6,19,1,1113,1128,,629,,,
42,6,21,1,674,888,619,734,425,,
39,6,23,1,2546,697,,,,,
53,6,25,1,1425,1094,,315,,,
16,6,27,1,,692,519,1797,1160,,
43,6,29,1,322,1208,587,837,144,,
28,6,31,1,795,1061,842,452,321,,
59,7,1,1,1177,1008,,,1023,,
62,7,3,1,621,170,,303,,,
57,7,5,1,760,158,,,,,
21,7,7,1,709,,,,439,,
12,7,9,1,1142,2474,918,458,1407,,
34,7,11,1,979,655,290,488,560,,
68,7,13,1,,738,330,649,833,978,
