seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
23,1,1,1,4830,3920,1654,1894,1347,1762,
39,1,3,1,2624,1254,1750,1676,1523,1424,
5,1,5,1,3190,1513,1321,1384,1188,1647,
41,1,7,1,3406,1989,2688,1809,1569,2284,
43,1,9,1,4760,2119,638,1098,1068,626,
52,1,11,1,855,2694,1376,1139,1022,1093,
64,1,13,1,1227,1511,2672,1494,1775,1491,
31,1,15,1,2173,1633,2199,1570,1232,1463,
32,1,17,1,1891,801,2031,1480,1553,1886,
61,1,19,1,2456,4510,2777,3066,2263,2134,
19,1,21,1,4887,1946,1355,1305,1547,1472,
44,1,23,1,2125,1442,1733,1273,1119,1579,
35,1,25,1,2460,4621,1919,2413,1883,1432,
28,1,27,1,3754,2499,2026,1751,1606,1594,
24,1,29,1,3670,4735,3106,2920,2092,2139,
59,1,31,1,856,2642,2499,1192,1517,2023,
13,2,2,1,1961,1612,1390,992,1005,735,
28,2,4,1,738,1530,1601,912,648,1630,
44,2,6,1,2805,3360,1082,844,738,1019,
64,2,8,1,910,1467,1284,669,740,1548,
50,2,10,1,1437,732,1230,493,506,888,
55,2,12,1,924,1548,2443,821,677,634,
53,2,14,1,942,883,819,732,602,751,
17,2,16,1,1001,1894,593,636,613,655,
33,2,18,1,881,3098,1258,1568,1019,1204,
46,2,20,1,1276,579,940,1227,904,815,
59,2,22,1,1550,634,734,687,704,1027,
32,2,24,1,1302,634,1031,489,918,1324,
43,2,26,1,1786,994,1026,773,600,792,
15,2,28,1,3602,785,1517,826,867,1533,
27,2,30,1,1456,1770,1955,812,797,620,
5,2,32,1,1374,2713,1056,1402,865,544,
36,3,1,1,2406,3846,874,1260,569,579,
29,3,3,1,3798,2039,3300,1970,1205,1637,
61,3,5,1,2003,2379,1828,1709,2295,811,
48,3,7,1,3083,3149,1654,714,705,868,
44,3,9,1,4970,3022,1755,1819,1689,1876,
39,3,11,1,3833,2554,2465,648,853,1010,
35,3,13,1,2080,2271,3744,2386,1832,1447,
57,3,15,1,893,1518,1690,3581,711,1045,
38,3,17,1,1517,4075,7099,1410,801,1297,
27,3,19,1,3705,4102,4854,1181,1267,1977,
43,3,21,1,1842,840,269,1349,1111,2141,
68,3,23,1,674,1243,616,1953,2113,2467,
60,3,25,1,2842,1259,1783,1648,1534,1180,
66,3,27,1,5679,3900,2422,2414,2237,2724,
13,3,29,1,2848,3226,4564,2490,1889,1006,
34,3,31,1,1053,3102,2364,2602,1388,1301,
42,4,2,1,4461,1510,1514,849,883,1969,225
38,4,4,1,8660,899,2537,1478,1070,1424,
43,4,6,1,12046,622,1407,1026,2749,721,
18,4,8,1,6615,1986,2776,1374,3136,2589,
13,4,10,1,3540,3482,2169,1886,2406,1889,
65,4,12,1,3651,2925,2801,2138,1384,904,
61,4,14,1,5901,128,199,1067,889,582,
20,4,16,1,3637,1921,2582,1847,2165,1016,
55,4,18,1,4425,1843,1126,1433,1439,1663,
62,4,20,1,5173,995,1400,1367,1181,,
16,4,22,1,6096,4001,4495,2240,1742,1086,
28,4,24,1,5569,1157,1526,1667,1000,2607,
17,4,26,1,6118,4842,1393,2024,1692,1197,
7,4,28,1,15349,2463,3423,5367,1817,5660,
37,4,30,1,6338,1160,2824,1622,1852,836,
46,4,32,1,9497,4155,1168,526,513,534,
41,5,1,1,3405,1733,1762,691,533,1013,
8,5,3,1,5942,502,1514,1480,1765,1130,
30,5,5,1,3103,208,1099,697,127,1318,
38,5,7,1,3670,637,985,593,1011,440,
21,5,9,1,3343,1095,726,1028,744,849,
35,5,11,1,3416,1558,1143,340,414,843,
