seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
23,1,1,1,1836,1366,135,,85,1762,
39,1,3,1,2328,1254,1750,1676,1523,1424,
5,1,5,1,3190,1513,1321,1384,1188,1647,
41,1,7,1,3101,1989,2688,1809,365,88,
43,1,9,1,2379,442,638,771,,384,
52,1,11,1,855,2113,176,151,161,141,
64,1,13,1,731,582,167,1383,155,256,
31,1,15,1,1899,,303,1570,1232,1463,
32,1,17,1,1891,,272,208,1164,1400,
61,1,19,1,871,943,2777,2127,2263,2134,
19,1,21,1,4887,1946,1355,1305,1547,1472,
44,1,23,1,1989,1442,1733,1273,1119,1579,
35,1,25,1,1612,4621,1550,2413,1306,1432,
28,1,27,1,965,144,1445,134,1439,1594,
24,1,29,1,863,1132,295,1546,225,2139,
59,1,31,1,856,1865,117,1192,1396,2023,
13,2,2,1,1961,1612,1390,992,1005,735,
28,2,4,1,738,1110,220,155,648,1630,
44,2,6,1,689,1633,1082,844,591,161,
64,2,8,1,910,1132,285,669,425,520,
50,2,10,1,1437,732,1230,493,506,888,
55,2,12,1,924,1548,2443,638,,178,
53,2,14,1,942,883,819,732,602,751,
17,2,16,1,900,538,593,636,613,655,
33,2,18,1,881,3098,1258,977,321,1204,
46,2,20,1,1276,579,940,1227,904,815,
59,2,22,1,1550,634,734,526,206,1027,
32,2,24,1,1302,634,1031,489,,522,
43,2,26,1,1786,994,1026,773,600,792,
15,2,28,1,2301,666,282,697,220,1533,
27,2,30,1,1235,328,1190,82,797,620,
5,2,32,1,1374,2713,,276,865,544,
36,3,1,1,1820,3528,,144,569,579,
29,3,3,1,2804,,1502,136,260,170,
61,3,5,1,535,198,1564,1709,2067,811,
48,3,7,1,1913,1290,266,141,422,457,
44,3,9,1,466,129,,127,237,594,
39,3,11,1,3554,1003,467,648,,116,
35,3,13,1,2080,,775,995,109,566,
57,3,15,1,503,1247,561,2923,106,1045,
38,3,17,1,718,820,419,1134,607,165,
27,3,19,1,774,357,249,506,758,1977,
43,3,21,1,462,184,269,878,194,243,
68,3,23,1,562,731,330,1953,1232,515,
60,3,25,1,2538,,205,349,1380,1180,
66,3,27,1,3186,1065,207,722,156,2724,
13,3,29,1,1165,185,184,153,,114,
34,3,31,1,870,371,341,311,142,1115,
42,4,2,1,4271,1236,1514,131,204,143,225
38,4,4,1,5482,417,293,1478,1070,1424,
43,4,6,1,12046,,899,808,2749,721,
18,4,8,1,4948,1986,2776,373,199,262,
13,4,10,1,3433,3482,2169,1886,2406,1889,
65,4,12,1,3651,693,1622,455,343,345,
61,4,14,1,5901,128,199,403,225,582,
20,4,16,1,2491,238,2582,1847,2165,1016,
55,4,18,1,2420,489,829,1226,196,871,
62,4,20,1,3438,324,617,788,1181,,
16,4,22,1,5732,3252,1285,555,533,216,
28,4,24,1,5569,1157,998,1496,,602,
17,4,26,1,,414,1393,1673,150,1197,
7,4,28,1,14163,1160,2080,268,279,275,
37,4,30,1,5529,780,2824,1622,1852,836,
46,4,32,1,6078,584,1168,325,372,534,
41,5,1,1,1934,217,1762,270,150,279,
8,5,3,1,2750,330,1514,955,286,1130,
30,5,5,1,2978,,1099,697,,587,
38,5,7,1,2458,226,,340,258,81,
21,5,9,1,2088,382,194,1028,744,849,
35,5,11,1,2606,,230,,414,843,
10,5,13,1,3718,490,1920,1532,1328,515,
32,5,15,1,1809,237,164,833,336,268,
16,5,17,1,1358,522,716,179,1713,1619,
64,5,19,1,2837,635,1512,945,377,965,
52,5,21,1,1898,946,85,326,,156,
28,5,23,1,2822,,791,482,830,1093,
23,5,25,1,1694,1191,564,725,499,1193,
15,5,27,1,740,663,196,408,763,1549,
14,5,29,1,4443,485,541,167,357,235,
26,5,31,1,1187,514,173,,123,1493,
9,6,2,1,3021,787,3744,4444,3601,1753,
23,6,4,1,2293,2650,1249,142,1665,1699,
39,6,6,1,5128,2513,2068,2690,2008,173,
19,6,8,1,2177,683,274,2006,1843,233,
25,6,10,1,95,163,2148,2644,2891,2012,
29,6,12,1,647,562,1989,1875,,175,
60,6,14,1,837,218,1562,1650,163,1278,
6,6,16,1,3762,4015,3813,1613,1257,1250,
41,6,18,1,506,511,962,514,1562,2976,
43,6,20,1,677,221,899,3815,,243,
42,6,22,1,1200,208,294,389,357,1982,
54,6,24,1,4364,2560,2261,1694,,153,
44,6,26,1,3014,2151,2330,1597,1891,2001,
32,6,28,1,444,170,323,109,515,704,
50,6,30,1,2967,141,3266,3887,588,2200,
59,6,32,1,2131,2682,1662,2466,1901,1425,
59,7,1,1,2073,1604,128,1085,,111,
47,7,3,1,2604,993,1028,163,,242,
41,7,5,1,1890,951,941,797,1154,1382,
48,7,7,1,1720,1079,297,1365,1460,947,
28,7,9,1,4382,1027,1724,666,205,160,
6,7,11,1,1662,1045,227,203,253,141,
65,7,13,1,1645,1051,1258,183,,172,
15,7,15,1,1181,327,1701,891,228,411,
53,7,17,1,2167,2065,1085,166,906,1640,
5,7,19,1,3105,2140,1269,1118,1541,1303,
39,7,21,1,1729,870,605,1065,1088,1505,
44,7,23,1,1581,1113,196,630,1079,1239,
27,7,25,1,1271,911,791,1207,,214,
7,7,27,1,,91,1450,1157,231,347,
37,7,29,1,2050,143,2084,1151,198,130,
12,7,31,1,1639,414,104,1929,1129,797,
22,8,2,1,1252,2277,337,546,1666,131,108
65,8,4,1,2073,2929,842,1185,,3765,
14,8,6,1,531,855,187,156,1047,518,
26,8,8,1,3430,171,1221,,213,234,
50,8,10,1,691,,132,301,,669,250
42,8,12,1,491,133,343,437,,755,143
55,8,14,1,712,,,122,156,289,190
7,8,16,1,1161,264,312,641,558,542,
54,8,18,1,359,,191,242,735,923,
32,8,20,1,125,82,184,138,164,4427,
13,8,22,1,747,235,738,301,676,168,
67,8,24,1,1407,639,1118,164,277,155,
59,8,26,1,1508,494,511,442,200,3170,
53,8,28,1,1455,201,282,,795,2858,
33,8,30,1,697,281,220,378,242,165,
30,8,32,1,692,916,760,,934,505,145
24,9,1,1,2040,1910,1808,1403,,184,
66,9,3,1,2153,2403,2425,1763,,100,
59,9,5,1,2991,1744,2149,438,1418,2017,
63,9,7,1,2672,2039,2023,1685,195,186,
49,9,9,1,1582,2378,2550,1456,270,374,
69,9,11,1,1501,1261,297,132,260,244,
43,9,13,1,1810,1416,1323,491,1337,1093,
54,9,15,1,1457,1066,1481,2041,171,166,
37,9,17,1,1458,1693,2206,1613,857,1429,
6,9,19,1,2714,3102,1916,1086,1618,1765,
16,9,21,1,1987,1109,1239,1546,,374,
58,9,23,1,2415,1441,1138,1330,1460,1061,
57,9,25,1,1901,3297,2035,1670,863,1364,
10,9,27,1,2930,,114,1910,154,155,
