seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
23,1,1,1,1,1,0,1,0,0,
39,1,3,1,1,0,0,0,0,0,
5,1,5,1,0,0,0,0,0,0,
41,1,7,1,1,0,0,0,1,0,
43,1,9,1,1,1,0,1,1,0,
52,1,11,1,0,1,1,0,1,0,
64,1,13,1,1,1,0,1,1,0,
31,1,15,1,1,1,0,0,0,0,
32,1,17,1,0,1,1,0,1,0,
61,1,19,1,1,1,0,0,0,0,
19,1,21,1,0,0,0,0,0,0,
44,1,23,1,1,0,0,0,0,0,
35,1,25,1,1,0,0,0,0,0,
28,1,27,1,1,1,1,1,1,0,
24,1,29,1,1,1,0,1,1,0,
59,1,31,1,0,1,0,0,1,0,
13,2,2,1,0,0,0,0,0,0,
28,2,4,1,0,1,0,0,0,0,
44,2,6,1,1,0,0,0,1,0,
64,2,8,1,0,1,1,0,1,0,
50,2,10,1,0,0,0,0,0,0,
55,2,12,1,0,0,0,1,0,0,
53,2,14,1,0,0,0,0,0,0,
17,2,16,1,1,0,0,0,0,0,
33,2,18,1,0,0,0,1,0,0,
46,2,20,1,0,0,0,0,0,0,
59,2,22,1,0,0,0,0,0,0,
32,2,24,1,0,0,0,0,1,0,
43,2,26,1,0,0,0,0,0,0,
15,2,28,1,1,1,0,1,0,0,
27,2,30,1,1,1,1,0,0,0,
5,2,32,1,0,0,1,0,0,0,
36,3,1,1,1,1,1,0,0,0,
29,3,3,1,1,1,1,1,1,0,
61,3,5,1,1,1,1,0,0,0,
48,3,7,1,1,1,1,0,0,0,
44,3,9,1,1,1,1,1,1,0,
39,3,11,1,1,1,0,0,1,0,
35,3,13,1,0,1,1,1,0,0,
57,3,15,1,1,1,1,1,0,0,
38,3,17,1,1,1,0,1,0,0,
27,3,19,1,1,1,1,1,0,0,
43,3,21,1,1,0,0,1,1,0,
68,3,23,1,1,1,0,0,1,0,
60,3,25,1,1,1,1,0,1,0,
66,3,27,1,1,1,1,1,1,0,
13,3,29,1,1,1,1,1,1,0,
34,3,31,1,1,1,1,1,1,0,
42,4,2,1,1,0,0,1,1,0,0
38,4,4,1,1,1,0,0,0,0,
43,4,6,1,0,1,1,0,0,0,
18,4,8,1,1,0,0,1,1,0,
13,4,10,1,1,0,0,0,0,0,
65,4,12,1,0,1,1,1,1,0,
61,4,14,1,0,0,0,1,0,0,
20,4,16,1,1,0,0,0,0,0,
55,4,18,1,1,1,0,1,1,0,
62,4,20,1,1,1,1,0,0,,
16,4,22,1,1,1,1,1,1,0,
28,4,24,1,0,0,1,1,1,0,
17,4,26,1,1,0,0,1,0,0,
7,4,28,1,1,1,1,1,1,0,
37,4,30,1,1,0,0,0,0,0,
46,4,32,1,1,0,0,1,0,0,
41,5,1,1,1,0,0,1,1,0,
8,5,3,1,1,0,0,1,0,0,
30,5,5,1,1,1,0,0,1,0,
38,5,7,1,1,0,1,0,1,0,
21,5,9,1,1,1,0,0,0,0,
35,5,11,1,1,1,0,1,0,0,
10,5,13,1,1,0,0,0,0,0,
32,5,15,1,1,1,1,0,1,0,
16,5,17,1,1,1,1,0,0,0,
64,5,19,1,1,1,1,1,0,0,
52,5,21,1,0,0,1,0,1,0,
28,5,23,1,0,0,1,0,0,0,
23,5,25,1,1,1,1,0,0,0,
15,5,27,1,1,1,1,1,0,0,
14,5,29,1,1,1,1,1,1,0,
26,5,31,1,1,1,1,1,0,0,
9,6,2,1,1,1,1,0,0,0,
23,6,4,1,1,1,1,0,0,0,
39,6,6,1,1,1,1,1,1,0,
19,6,8,1,1,1,0,1,1,0,
25,6,10,1,1,1,1,1,0,0,
29,6,12,1,1,1,0,0,0,0,
60,6,14,1,1,1,1,1,0,0,
6,6,16,1,1,1,0,0,0,0,
41,6,18,1,1,1,1,1,0,0,
43,6,20,1,1,1,0,1,1,0,
42,6,22,1,1,1,1,1,0,0,
54,6,24,1,0,1,1,1,1,0,
44,6,26,1,0,0,0,0,0,0,
32,6,28,1,1,1,1,1,1,0,
50,6,30,1,1,0,0,1,0,0,
59,6,32,1,0,0,0,0,0,0,
59,7,1,1,1,1,0,0,1,0,
47,7,3,1,0,0,0,1,0,0,
41,7,5,1,0,0,0,0,0,0,
48,7,7,1,0,1,0,1,0,0,
28,7,9,1,1,1,0,0,1,0,
6,7,11,1,0,1,1,1,1,0,
65,7,13,1,1,1,1,0,1,0,
15,7,15,1,0,0,0,1,1,0,
53,7,17,1,1,0,1,0,1,0,
5,7,19,1,0,0,0,0,0,0,
39,7,21,1,0,0,0,0,0,0,
44,7,23,1,0,1,0,0,1,0,
27,7,25,1,1,0,0,0,1,0,
7,7,27,1,1,0,0,0,1,0,
37,7,29,1,1,1,0,0,1,0,
12,7,31,1,1,1,0,0,1,0,
22,8,2,1,1,0,1,1,1,1,0
65,8,4,1,1,1,1,1,1,0,
14,8,6,1,1,1,0,0,0,0,
26,8,8,1,1,0,0,0,1,0,
50,8,10,1,1,1,1,1,1,1,0
42,8,12,1,1,1,1,1,0,1,0
55,8,14,1,1,1,1,1,0,1,0
7,8,16,1,1,1,0,0,0,0,
54,8,18,1,1,1,1,1,1,0,
32,8,20,1,1,1,1,1,1,0,
13,8,22,1,1,1,1,1,1,1,
67,8,24,1,1,0,0,1,0,0,
59,8,26,1,1,1,1,1,1,0,
53,8,28,1,1,0,1,1,0,0,
33,8,30,1,1,1,0,0,0,0,
30,8,32,1,1,0,0,1,1,1,0
24,9,1,1,0,0,0,0,1,0,
66,9,3,1,0,0,0,0,1,0,
59,9,5,1,0,0,0,0,0,0,
63,9,7,1,0,0,0,1,1,0,
49,9,9,1,0,1,0,1,0,0,
69,9,11,1,0,1,1,1,0,0,
43,9,13,1,0,0,1,0,0,0,
54,9,15,1,0,0,0,1,1,0,
37,9,17,1,0,0,0,0,0,0,
6,9,19,1,0,0,0,0,0,0,
16,9,21,1,0,0,0,0,1,0,
58,9,23,1,0,0,0,0,0,0,
57,9,25,1,0,0,0,0,0,0,
10,9,27,1,0,1,0,0,1,0,
55,9,29,1,0,0,0,0,0,0,
9,9,31,1,0,1,0,0,0,0,
29,10,1,1,1,1,0,1,1,0,
56,10,3,1,1,1,1,1,0,0,
46,10,5,1,1,0,0,0,1,0,
51,10,7,1,1,1,0,1,0,0,
9,10,9,1,1,1,1,1,1,0,
45,10,11,1,0,1,1,0,1,0,
16,10,13,1,1,0,0,0,1,1,0
42,10,15,1,1,1,0,0,1,0,
61,10,17,1,1,1,0,0,0,0,
55,10,19,1,1,1,1,1,1,0,
25,10,21,1,1,1,1,1,1,0,
40,10,23,1,0,1,0,0,1,0,
14,10,25,1,0,0,0,0,0,0,
36,10,27,1,1,0,0,1,0,0,
44,10,29,1,1,1,0,0,0,0,
60,10,31,1,1,0,0,1,1,0,
47,11,2,1,1,1,0,1,0,1,0
39,11,4,1,1,1,1,1,1,0,
10,11,6,1,1,0,1,1,1,1,0
8,11,8,1,0,1,0,1,1,0,
26,11,10,1,1,1,0,1,1,1,0
68,11,12,1,0,1,1,1,1,1,0
42,11,14,1,0,0,0,1,1,1,0
14,11,16,1,1,0,0,0,1,0,
32,11,18,1,0,0,1,0,1,0,
54,11,20,1,1,1,1,1,0,0,
55,11,22,1,0,1,0,1,1,0,
62,11,24,1,1,1,1,0,1,0,0
48,11,26,1,1,1,1,0,0,0,
25,11,28,1,1,1,1,0,0,0,
31,11,30,1,1,1,1,1,1,0,
56,11,32,1,0,1,1,1,0,1,0
57,12,1,1,0,1,0,0,1,0,
46,12,3,1,1,0,1,0,1,0,
10,12,5,1,1,1,0,0,0,0,
18,12,7,1,1,1,0,0,0,0,
8,12,9,1,1,0,0,0,1,0,
20,12,11,1,1,1,1,1,1,0,
49,12,13,1,1,0,0,1,1,0,
7,12,15,1,0,1,1,1,1,0,
14,12,17,1,1,1,0,0,0,0,
12,12,19,1,1,1,0,0,0,0,
15,12,21,1,1,1,0,0,1,0,
50,12,23,1,1,0,0,0,0,0,
48,12,25,1,1,0,1,0,0,0,
63,12,27,1,0,1,1,1,1,0,
13,12,29,1,1,1,0,1,0,0,
39,12,31,1,1,0,0,0,0,0,
16,13,2,1,1,0,0,1,1,0,
58,13,4,1,1,0,0,0,0,0,
22,13,6,1,0,1,0,0,0,0,
35,13,8,1,0,0,1,0,0,1,
52,13,10,1,0,0,1,0,0,0,
64,13,12,1,1,1,1,1,0,0,
67,13,14,1,1,0,1,1,0,0,
51,13,16,1,1,0,0,0,0,0,
8,13,18,1,1,0,1,0,0,0,
66,13,20,1,1,1,0,0,1,0,
63,13,22,1,1,1,0,0,0,0,
18,13,24,1,0,0,0,0,1,0,
10,13,26,1,0,0,1,1,0,0,
33,13,28,1,1,0,0,0,1,0,
20,13,30,1,1,0,1,0,0,0,
57,13,32,1,0,0,0,1,0,0,
8,14,2,1,1,1,0,1,1,0,
11,14,4,1,1,1,0,1,1,0,0
64,14,6,1,1,1,1,0,1,1,
55,14,8,1,1,1,0,0,0,0,
17,14,10,1,0,1,1,1,0,0,
39,14,12,1,1,0,0,1,0,0,
32,14,14,1,1,1,0,1,1,0,
23,14,16,1,1,1,1,0,1,0,
49,14,18,1,1,1,0,0,0,0,
45,14,20,1,1,1,0,0,0,0,
16,14,22,1,0,1,1,1,1,0,
37,14,24,1,1,1,0,1,1,0,
40,14,26,1,0,0,0,0,0,0,
66,14,28,1,1,1,1,0,0,0,
10,14,30,1,1,1,0,0,0,0,
54,14,32,1,1,1,0,0,0,0,
24,15,2,1,1,0,0,0,0,0,
55,15,4,1,0,0,0,0,1,0,
46,15,6,1,0,0,1,1,1,0,
20,15,8,1,1,1,0,0,0,0,
52,15,10,1,1,1,0,1,0,0,
44,15,12,1,0,0,0,0,1,0,
16,15,14,1,0,0,1,0,0,0,
12,15,16,1,1,1,1,1,0,0,
40,15,18,1,0,0,0,0,0,0,
62,15,20,1,0,0,0,0,0,0,
38,15,22,1,0,0,0,0,0,0,
58,15,24,1,0,0,0,1,1,0,
47,15,26,1,1,0,0,0,1,0,
42,15,28,1,0,0,0,0,1,0,
19,15,30,1,0,1,0,0,0,0,
39,15,32,1,0,1,0,0,0,0,
41,16,2,1,0,1,1,0,0,0,
63,16,4,1,0,1,1,1,1,0,
62,16,6,1,0,1,0,1,0,0,
16,16,8,1,1,0,0,0,0,0,
21,16,10,1,1,0,0,0,0,0,
19,16,12,1,1,0,0,0,1,0,
35,16,14,1,0,0,0,0,0,0,
17,16,16,1,0,0,0,0,0,0,
27,16,18,1,0,0,0,0,0,0,
39,16,20,1,0,1,1,0,0,0,
50,16,22,1,0,1,1,0,0,0,
12,16,24,1,1,0,0,0,1,0,
42,16,26,1,1,0,0,0,0,0,
13,16,28,1,0,0,1,0,1,0,
61,16,30,1,0,1,0,1,1,0,
53,16,32,1,0,1,0,0,0,0,
32,17,2,1,0,1,0,1,1,0,
66,17,4,1,1,0,0,1,0,0,
5,17,6,1,1,0,0,0,1,0,
30,17,8,1,0,1,0,1,1,0,
49,17,10,1,1,0,0,0,0,0,
12,17,12,1,1,1,1,1,0,0,
64,17,14,1,0,0,0,0,0,0,
41,17,16,1,0,0,0,0,0,0,
52,17,18,1,1,1,0,1,0,0,
26,17,20,1,1,1,1,0,0,0,
55,17,22,1,1,0,1,0,0,0,
40,17,24,1,1,1,0,1,1,0,
34,17,26,1,1,1,1,0,0,0,
29,17,28,1,1,0,0,1,0,0,
62,17,30,1,1,0,0,0,0,0,
46,17,32,1,1,0,0,0,0,0,
11,1,2,2,1,0,0,0,1,0,
13,1,4,2,1,0,0,0,1,0,
9,1,6,2,1,1,0,1,0,0,
17,1,8,2,0,0,0,0,1,1,
47,1,10,2,1,0,1,1,1,0,
56,1,12,2,1,1,1,1,0,0,
16,1,14,2,1,1,0,1,1,0,
7,1,16,2,0,0,0,0,1,0,
62,1,18,2,0,0,0,1,0,0,
40,1,20,2,0,1,1,1,0,0,
26,1,22,2,1,0,1,1,0,0,
20,1,24,2,0,0,1,1,1,0,
8,1,26,2,1,1,1,0,0,0,
15,1,28,2,1,1,0,1,0,0,
29,1,30,2,0,0,0,0,0,0,
63,1,32,2,1,0,0,0,1,0,
30,2,1,2,1,1,0,0,0,0,
41,2,3,2,0,0,0,0,0,0,
20,2,5,2,0,0,1,0,0,0,
39,2,7,2,1,0,1,1,0,0,
48,2,9,2,1,1,0,1,0,0,
34,2,11,2,0,0,1,0,1,0,
66,2,13,2,0,1,0,0,0,0,
56,2,15,2,0,0,0,0,1,0,
6,2,17,2,0,1,0,0,0,0,
52,2,19,2,0,1,0,0,1,0,
62,2,21,2,0,0,0,0,0,0,
54,2,23,2,0,0,0,0,0,0,
67,2,25,2,1,0,0,1,0,0,
23,2,27,2,0,0,0,0,1,0,
37,2,29,2,1,1,0,0,1,0,
26,2,31,2,0,0,1,0,0,0,
7,3,2,2,1,1,1,1,0,0,
14,3,4,2,1,1,1,1,1,0,
9,3,6,2,1,1,1,0,1,1,
58,3,8,2,0,0,0,0,1,0,
40,3,10,2,1,1,1,1,0,0,
67,3,12,2,1,1,0,1,1,0,
64,3,14,2,1,1,1,1,1,0,
16,3,16,2,1,1,1,1,0,0,
19,3,18,2,1,1,1,0,1,0,
47,3,20,2,1,1,1,1,1,0,
22,3,22,2,,1,1,1,0,0,
6,3,24,2,1,1,1,1,1,1,
33,3,26,2,0,1,1,0,0,0,
42,3,28,2,1,0,1,1,1,0,
11,3,30,2,1,1,1,1,1,0,
24,3,32,2,1,1,1,1,1,0,
60,4,1,2,1,1,0,1,0,0,
23,4,3,2,1,1,0,1,1,0,
54,4,5,2,0,0,0,0,0,0,
24,4,7,2,1,0,1,1,0,0,
53,4,9,2,0,1,1,1,0,0,
57,4,11,2,1,0,1,1,0,,
9,4,13,2,1,0,1,0,1,0,
39,4,15,2,1,0,1,1,1,0,
12,4,17,2,1,0,0,0,0,0,
36,4,19,2,1,0,0,1,1,0,
32,4,21,2,0,0,1,0,0,0,
45,4,23,2,1,0,0,1,0,0,
22,4,25,2,0,0,1,0,1,0,
15,4,27,2,0,1,1,1,1,0,
59,4,29,2,0,1,1,1,0,0,
