seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
32,1,2,1,1572,1657,2867,809,1027,4772,
66,1,4,1,1218,1429,1288,939,801,1078,
5,1,6,1,3682,2787,1732,2727,2534,,
30,1,8,1,1306,1092,1715,887,1011,1916,
49,1,10,1,3632,1265,947,885,1192,1162,
12,1,12,1,1370,1802,1396,978,,2349,
64,1,14,1,,,,4633,787,598,
41,1,16,1,1654,1913,2659,850,677,951,
52,1,18,1,1129,908,2051,2828,917,1201,
26,1,20,1,3113,2164,3955,1186,735,962,
55,1,22,1,914,1206,3020,936,1337,665,
40,1,24,1,1850,988,930,821,,1937,
34,1,26,1,2343,1500,955,916,928,2547,
29,1,28,1,1532,1483,1532,1286,1323,7255,
62,1,30,1,3056,1550,3627,767,1506,766,
46,1,32,1,1163,1171,2287,635,871,633,
42,2,1,1,1985,4864,1025,1823,,3013,
67,2,3,1,2383,696,1389,2158,1208,1453,
60,2,5,1,2324,2958,1457,717,661,1858,
26,2,7,1,2881,2359,2576,2084,893,1394,
48,2,9,1,1762,1498,1296,864,143,2302,
19,2,11,1,2803,1605,5664,648,,2279,
32,2,13,1,957,3633,2669,1959,1758,2210,
44,2,15,1,1437,1716,1026,1177,775,1710,
38,2,17,1,2680,2068,2714,771,862,1631,
41,2,19,1,1851,231,3826,1688,1266,2742,
56,2,21,1,2234,1147,1205,1136,1086,1769,
6,2,23,1,2607,,2203,2127,1902,5231,
14,2,25,1,2553,2279,2863,2032,,2961,
17,2,27,1,2783,2247,205,3997,765,3403,
64,2,29,1,2937,,1319,2647,133,2829,
30,2,31,1,2371,560,4494,1233,871,2001,
51,3,2,1,4169,2542,2999,2820,3148,2141,
23,3,4,1,3200,4331,,10368,4228,11308,
30,3,6,1,309,4849,4169,4229,2270,1888,
44,3,8,1,5990,3363,1460,1663,3103,6740,
47,3,10,1,2536,2189,2665,2786,2071,1421,
59,3,12,1,1920,3326,3569,3562,2465,2187,
50,3,14,1,2342,,4583,1767,2286,1372,
46,3,16,1,4331,5402,2685,1654,1590,2473,
43,3,18,1,2094,3247,2397,2465,1349,1699,
39,3,20,1,3382,3485,4170,5009,1989,2089,
60,3,22,1,2428,2481,2312,1584,1812,1303,
