seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
23,1,1,1,2994,897,,1894,,,
39,1,3,1,296,,,,,,
5,1,5,1,,,,,,,
41,1,7,1,305,,,,1204,,
43,1,9,1,2381,179,,327,1068,,
52,1,11,1,,581,1200,,861,,
64,1,13,1,496,929,,111,1620,,
31,1,15,1,274,1633,,,,,
32,1,17,1,,801,1759,,389,,
61,1,19,1,1585,1265,,939,,,
19,1,21,1,,,,,,,
44,1,23,1,136,,,,,,
35,1,25,1,848,,369,,577,,
28,1,27,1,2789,605,581,293,167,,
24,1,29,1,2807,392,,1374,255,,
59,1,31,1,,777,,,121,,
13,2,2,1,,,,,,,
28,2,4,1,,420,1225,,,,
44,2,6,1,2116,,,,147,,
64,2,8,1,,335,232,,315,,
50,2,10,1,,,,,,,
55,2,12,1,,,,183,677,,
53,2,14,1,,,,,,,
17,2,16,1,101,,,,,,
33,2,18,1,,,,591,,,
46,2,20,1,,,,,,,
59,2,22,1,,,,161,,,
32,2,24,1,,,,,918,,
43,2,26,1,,,,,,,
15,2,28,1,1301,119,,129,,,
27,2,30,1,221,133,765,,,,
5,2,32,1,,,1056,,,,
36,3,1,1,586,318,874,,,,
29,3,3,1,994,2039,1598,1834,679,,
61,3,5,1,1468,599,264,,228,,
48,3,7,1,1170,1859,1066,,283,,
44,3,9,1,4504,958,1755,732,1452,,
39,3,11,1,279,1551,146,,853,,
35,3,13,1,,2271,805,1391,709,,
57,3,15,1,390,271,731,207,,,
38,3,17,1,799,3255,,276,194,,
27,3,19,1,2931,3190,651,547,509,,
43,3,21,1,1380,,,471,747,,
68,3,23,1,112,248,,,881,,
60,3,25,1,304,1259,1578,282,154,,
66,3,27,1,2493,2835,913,358,592,,
13,3,29,1,1683,2028,3786,1588,1889,,
34,3,31,1,183,1738,1833,532,242,,
42,4,2,1,190,,,718,679,1088,
38,4,4,1,3178,319,,,,,
43,4,6,1,,622,508,,,,
18,4,8,1,1667,,,1001,1268,,
13,4,10,1,107,,,,,,
65,4,12,1,,2232,1038,985,854,,
61,4,14,1,,,,664,,,
20,4,16,1,1146,,,,,,
55,4,18,1,2005,1190,,207,1243,,
62,4,20,1,1735,513,561,,,,
16,4,22,1,364,749,135,161,364,,
28,4,24,1,,,528,171,1000,,
17,4,26,1,6118,,,351,,,
7,4,28,1,1186,1303,489,855,1538,,
37,4,30,1,809,,,,,,
46,4,32,1,3419,,,201,,,
41,5,1,1,1471,,,421,172,,
8,5,3,1,3192,,,525,,,
30,5,5,1,125,208,,,127,,
38,5,7,1,1212,,985,,308,,
21,5,9,1,1255,713,,,,,
35,5,11,1,810,1558,,340,,,
10,5,13,1,594,,,,,,
32,5,15,1,954,472,599,118,545,,
16,5,17,1,1020,993,1176,,,,
64,5,19,1,1661,1924,346,594,,,
52,5,21,1,,,1080,,924,,
28,5,23,1,,330,199,,,,
23,5,25,1,1032,742,204,,,,
15,5,27,1,4161,307,230,600,330,,
14,5,29,1,1978,241,97,1424,600,,
26,5,31,1,1153,1103,316,394,,,
9,6,2,1,570,656,979,934,,,
23,6,4,1,1100,1891,6761,,,,
39,6,6,1,1036,135,217,651,1597,,
19,6,8,1,828,4237,303,125,902,,
25,6,10,1,882,594,756,185,372,,
29,6,12,1,1611,865,,,1454,,
60,6,14,1,1354,152,127,1545,258,,
6,6,16,1,1577,945,,,,,
41,6,18,1,4139,174,1241,514,,,
43,6,20,1,3379,179,,988,2173,,
42,6,22,1,1127,713,475,178,,,
54,6,24,1,,506,691,337,1068,,
44,6,26,1,,,,,,,
32,6,28,1,5244,3553,1844,1744,2034,,
50,6,30,1,689,,,1150,,,
59,6,32,1,,,,,,,
59,7,1,1,1168,651,,,1495,,
47,7,3,1,,,,992,1058,,
41,7,5,1,,,,,,,
48,7,7,1,,283,,205,220,,
28,7,9,1,954,1375,879,544,1846,,
6,7,11,1,,872,529,188,976,,
65,7,13,1,594,692,180,,1181,,
15,7,15,1,,,,229,444,,
53,7,17,1,507,339,919,,207,,
5,7,19,1,1035,,,,,,
39,7,21,1,,,,,,,
44,7,23,1,,348,,,306,,
27,7,25,1,662,,359,584,1501,,
7,7,27,1,2563,,,,436,,
37,7,29,1,1134,571,393,399,2819,,
12,7,31,1,178,909,,,200,,
22,8,2,1,1098,580,760,855,968,2107,
65,8,4,1,909,154,877,2490,753,,
14,8,6,1,1262,359,587,608,1001,,
26,8,8,1,1467,654,,110,97,1973,
50,8,10,1,1561,608,687,499,442,2927,
