seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
25,1,1,1,3140,804,150,405,2250,,
47,1,3,1,380,2243,201,,1257,,
19,1,5,1,810,3204,1300,,1498,,
40,1,7,1,709,1618,1891,956,,,
51,1,9,1,,181,,488,978,,
66,1,11,1,,908,,,1684,,
44,1,13,1,1214,823,,429,1936,,
35,1,15,1,287,390,2211,173,368,,
14,1,17,1,2107,3538,3223,,,,
67,1,19,1,256,2282,,,,,
8,1,21,1,1631,1918,,,,,
33,1,23,1,1697,205,222,,,,
32,1,25,1,380,3649,,,,,
60,1,27,1,,267,268,,2263,,
15,1,29,1,566,1271,,273,,,
18,1,31,1,1269,856,1740,,,,
33,2,1,1,,126,,,136,,
19,2,3,1,1795,,82,97,,,
12,2,5,1,148,,,,776,,
18,2,7,1,144,225,,,,,
57,2,9,1,,,,,,,
14,2,11,1,,,865,167,454,,
29,2,13,1,,,,265,,,
21,2,15,1,,,149,,,,
46,2,17,1,,,,,,,
53,2,19,1,,,,,,,
37,2,21,1,,,,,,,
24,2,23,1,,,,,,,
62,2,25,1,,,,,,,
31,2,27,1,,,,,561,,
17,2,29,1,,,324,470,,,
9,2,31,1,,397,,,,,
50,3,1,1,3989,202,,,1921,,
58,3,3,1,947,650,883,2231,1501,,
19,3,5,1,1281,217,,,1219,,
53,3,7,1,1861,,783,219,,,
43,3,9,1,924,198,1039,,1713,,
11,3,11,1,969,1847,1640,465,1054,,
24,3,13,1,468,623,,429,2279,,
30,3,15,1,,508,215,,,1138,
68,3,17,1,228,1660,,877,238,,
9,3,19,1,2426,1172,583,,,,
33,3,21,1,,,,,,,
25,3,23,1,2023,,693,112,,,
5,3,25,1,2051,835,1394,180,1657,,
17,3,27,1,803,651,1658,,1137,,
10,3,29,1,4784,2588,1844,2190,1691,,
51,3,31,1,,1665,2066,217,651,,
61,4,1,1,,,,,1444,,
55,4,3,1,,200,,,1272,,
12,4,5,1,,,,,,,
45,4,7,1,298,626,268,1590,300,,
67,4,9,1,,,,,1199,,
10,4,11,1,253,675,,,2404,,
57,4,13,1,245,472,1597,309,1644,,
40,4,15,1,454,,,,,129,
24,4,17,1,,,,,,,
42,4,19,1,,,,,,,
66,4,21,1,,996,429,1044,,,
11,4,23,1,,,,,,,
38,4,25,1,,,,,1579,,
6,4,27,1,,,,157,3735,,
30,4,29,1,484,305,,1388,,,
60,4,31,1,,1309,,,,,
18,5,1,1,3273,170,,506,1975,198,
53,5,3,1,790,1437,,355,1067,,
55,5,5,1,741,379,,,,,
59,5,7,1,331,,1147,,,,
24,5,9,1,161,1082,357,1513,2516,125,
41,5,11,1,,417,1868,205,634,,
60,5,13,1,293,1534,,,765,,
16,5,15,1,504,588,201,549,926,,
30,5,17,1,1982,2137,2066,,,,
49,5,19,1,696,,,1745,,,
54,5,21,1,,3633,788,517,881,,
39,5,23,1,,,3910,809,431,,
56,5,25,1,542,2024,,,,,
48,5,27,1,1615,231,1332,,1231,1696,
15,5,29,1,575,295,,739,550,,
45,5,31,1,2398,,569,,,,
11,6,1,1,,,,204,1426,,
55,6,3,1,,149,743,302,1180,,
41,6,5,1,,,1530,,,,
34,6,7,1,,274,1760,,505,,
19,6,9,1,1445,,,,1642,,
18,6,11,1,,209,192,455,1617,,
29,6,13,1,1255,806,1223,1587,612,,
66,6,15,1,,251,,176,,,
59,6,17,1,410,3591,,,,,
26,6,19,1,,,,345,,,
52,6,21,1,,1387,357,755,1371,,
64,6,23,1,,,,,1105,,
27,6,25,1,762,1429,1735,1754,1108,,
54,6,27,1,,291,,,1218,,
13,6,29,1,,341,,,,,
6,6,31,1,,,361,2370,,,
43,7,1,1,1158,809,,,522,2772,123
65,7,3,1,,,,,889,,
51,7,5,1,364,643,,164,1048,,
35,7,7,1,425,248,,640,747,,
5,7,9,1,1585,265,1043,578,769,,
11,7,11,1,1747,2935,,452,552,,
24,7,13,1,1989,1889,752,727,557,1824,197
68,7,15,1,,,,,164,,
23,7,17,1,841,2831,,,178,,
10,7,19,1,2218,,2916,456,1003,,
9,7,21,1,,193,,,1504,,
49,7,23,1,547,1634,1141,1732,611,,
16,7,25,1,2943,,86,1097,317,,
37,7,27,1,188,444,1175,,529,2669,
45,7,29,1,,,,,204,1988,
28,7,31,1,2458,1730,5698,3335,,,
13,8,1,1,544,2203,158,912,1550,,
42,8,3,1,,,,212,195,1571,
57,8,5,1,357,333,359,,,,
49,8,7,1,899,437,,,,,
44,8,9,1,,,,,417,,
62,8,11,1,,,594,297,172,1096,
33,8,13,1,,,,,519,1197,
51,8,15,1,525,,374,,,,
28,8,17,1,,,340,,133,,
18,8,19,1,,725,1341,,,,
5,8,21,1,600,,173,306,357,,
21,8,23,1,572,136,,438,,,
58,8,25,1,279,396,372,981,463,,
46,8,27,1,191,88,349,,158,1223,
56,8,29,1,2256,1182,287,178,,,
9,8,31,1,201,205,571,171,,,
13,9,1,1,1040,,,,1375,,
49,9,3,1,715,528,,,1465,,
23,9,5,1,872,2068,,,,,
42,9,7,1,538,,,,,,
9,9,9,1,,,1364,,1688,,
35,9,11,1,,442,259,,890,,
5,9,13,1,506,,,197,2058,,
62,9,15,1,,,209,,,,
27,9,17,1,412,2481,361,,,,
53,9,19,1,1196,156,,661,,,
57,9,21,1,,,,427,1267,,
22,9,23,1,,,,,,,
19,9,25,1,,,,,1142,,
40,9,27,1,,149,,114,1919,,
34,9,29,1,,1250,,,,,
33,9,31,1,,368,818,,471,,
26,10,1,1,,2129,,,2806,,
23,10,3,1,184,,,124,1217,,
21,10,5,1,,,,,,,
66,10,7,1,,,,,199,,
17,10,9,1,,136,,,1026,,
16,10,11,1,2647,256,731,,1120,,
30,10,13,1,,,,,,,
19,10,15,1,819,1536,256,179,,,
32,10,17,1,143,111,411,,,,
53,10,19,1,,,,,,,
39,10,21,1,,,,,1670,,
51,10,23,1,700,977,493,,,,
62,10,25,1,,,,146,1465,,
61,10,27,1,,,,,988,1729,
10,10,29,1,2666,2467,,,,,
56,10,31,1,1247,3110,,580,872,,
22,11,1,1,952,1325,,,1096,,
12,11,3,1,,,114,,,,
25,11,5,1,,,,,,,
51,11,7,1,,,,,,,
18,11,9,1,,,,,948,831,
47,11,11,1,822,,,381,946,,
8,11,13,1,,,238,,,,
54,11,15,1,1621,,251,,,,
41,11,17,1,,,,,,,
5,11,19,1,,102,1166,124,,,
9,11,21,1,,,,,1039,,
36,11,23,1,3195,,,,,,
14,11,25,1,,,,,,,
62,11,27,1,3299,487,,,1403,,
53,11,29,1,1301,,,,,,
30,11,31,1,843,,,,,,
24,12,1,1,327,372,,,,,
34,12,3,1,1875,168,,,191,,
7,12,5,1,1954,677,,,347,,
33,12,7,1,1317,296,,,,,
53,12,9,1,711,,,,532,,
6,12,11,1,1936,260,226,166,164,,
21,12,13,1,802,,,,775,,
56,12,15,1,,,225,427,242,,
40,12,17,1,,548,,305,133,,
60,12,19,1,,,,,,,
45,12,21,1,595,739,,,258,,
22,12,23,1,,215,,,,,
63,12,25,1,,,,,,,
19,12,27,1,499,,,321,,,
15,12,29,1,1541,,,718,,,
47,12,31,1,1041,,1259,,,,
66,13,1,1,210,240,,,,,
59,13,3,1,85,191,1627,,,,
51,13,5,1,,1605,,,,,
16,13,7,1,3367,1655,830,622,,,
62,13,9,1,1248,891,,,,,
13,13,11,1,,84,146,,1100,,
56,13,13,1,1287,1007,863,121,1337,,
18,13,15,1,421,,190,185,,,
43,13,17,1,1515,,,645,,,
37,13,19,1,,,2152,,,,
57,13,21,1,425,,,,,,
49,13,23,1,,,,,,,
50,13,25,1,718,1831,,,,,
45,13,27,1,207,,,201,1112,,
52,13,29,1,,,,,,,
19,13,31,1,648,,,,,,
43,14,1,1,,,254,,,,
51,14,3,1,135,,,,905,,
15,14,5,1,1312,1559,120,126,,,
49,14,7,1,272,,,113,,,
41,14,9,1,,,,,739,,
61,14,11,1,987,1599,,,666,,
21,14,13,1,462,,,123,1710,,
39,14,15,1,,341,,,,748,
14,14,17,1,735,133,,,,,
31,14,19,1,,,,,,,
12,14,21,1,,1310,,,1204,,
53,14,23,1,539,268,,,,,
22,14,25,1,1008,,,,857,,
56,14,27,1,,,,,743,,
26,14,29,1,1532,672,,,,,
27,14,31,1,476,834,124,,,,
63,15,1,1,1421,1680,,452,,,
41,15,3,1,,142,,,300,,
