seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
25,1,1,1,4027,5727,1512,1996,2250,1914,
47,1,3,1,2798,2243,3102,3040,1257,2718,
19,1,5,1,2277,3849,2565,2192,1498,1003,
40,1,7,1,3327,1770,3212,1167,2090,4712,
51,1,9,1,428,2663,1353,1071,978,1664,
66,1,11,1,302,868,4002,3824,1970,2659,
44,1,13,1,3689,3254,2690,2299,1936,1200,
35,1,15,1,1414,2959,2376,2236,705,2205,
14,1,17,1,5078,6245,3754,2605,923,1169,
67,1,19,1,1404,4846,6466,1112,1689,1771,
8,1,21,1,7497,4878,1500,1646,1348,1371,
33,1,23,1,3326,2955,2616,1124,1370,1824,
32,1,25,1,2091,3832,2150,1906,788,675,
60,1,27,1,2700,1579,2098,934,2716,3114,
15,1,29,1,3041,1979,2525,1908,1603,1500,
18,1,31,1,2615,3113,2029,1606,803,1194,
33,2,1,1,969,1047,751,886,937,679,
19,2,3,1,2739,855,859,914,1020,964,
12,2,5,1,339,834,1066,965,1119,1150,
18,2,7,1,1062,1022,747,,,,
57,2,9,1,877,1368,625,818,454,480,
14,2,11,1,,943,1307,845,816,1213,
29,2,13,1,1254,989,1009,803,1022,405,
21,2,15,1,714,745,757,855,583,941,
46,2,17,1,1047,1153,1193,775,503,620,
53,2,19,1,796,1633,768,750,682,609,
37,2,21,1,1299,412,880,892,1090,713,
24,2,23,1,728,835,709,790,552,470,
62,2,25,1,762,931,1010,1076,775,693,
31,2,27,1,1229,1009,804,958,1156,1058,
17,2,29,1,250,1592,790,1449,862,808,
9,2,31,1,693,1048,1745,1012,512,751,
50,3,1,1,4455,3554,1694,2095,1921,2095,
58,3,3,1,4685,4285,3448,2491,1501,1366,
19,3,5,1,3708,1834,2119,3365,2569,2621,
53,3,7,1,5033,2506,3656,1730,1654,1521,
43,3,9,1,3056,2636,1408,2640,1713,2306,
11,3,11,1,7170,4034,3798,1284,1054,1687,
24,3,13,1,4113,3123,2768,4175,2279,2039,
30,3,15,1,4914,2099,2242,1777,1723,2503,
68,3,17,1,4906,2037,2303,1144,1023,927,
9,3,19,1,8702,4115,2589,2028,2257,2222,
33,3,21,1,3950,2009,2385,1971,2041,1127,
25,3,23,1,3242,2980,3487,2539,1195,1920,
5,3,25,1,7190,2968,5576,1845,1657,1756,
17,3,27,1,4472,2419,1920,2005,1847,2240,
10,3,29,1,6725,3740,2225,2831,2534,1708,
51,3,31,1,2604,1894,2441,2510,1810,1835,
61,4,1,1,1736,2256,2210,1342,1444,1297,
55,4,3,1,2529,1173,3453,1717,1272,2130,
12,4,5,1,2148,1707,1316,1539,1460,1371,
45,4,7,1,1645,1243,1407,3045,444,2435,
67,4,9,1,1383,1423,1988,1311,1439,1328,
10,4,11,1,1700,2735,2024,1786,2404,681,
57,4,13,1,936,2096,3155,5746,1644,1357,
40,4,15,1,1016,1277,1466,1485,1849,1208,
24,4,17,1,1428,1222,1427,1222,1105,1849,
42,4,19,1,1688,3749,1701,1033,1208,1300,
66,4,21,1,1518,996,1546,1591,1579,1225,
11,4,23,1,1782,2484,1502,1912,1301,1875,
38,4,25,1,1555,1577,1984,2057,1579,1435,
6,4,27,1,2367,2228,2123,2292,3931,1783,
30,4,29,1,1198,2367,4094,1889,2003,1332,
60,4,31,1,581,2625,2358,2173,1391,1094,
18,5,1,1,6335,2431,3042,1387,2775,380,366
53,5,3,1,1256,2759,1774,1118,1067,2465,
55,5,5,1,2709,2141,1741,848,1828,1039,
59,5,7,1,1403,1761,1559,1201,776,1072,
24,5,9,1,2791,2938,1136,2893,2837,125,469
41,5,11,1,1288,2823,2467,2010,634,937,
60,5,13,1,2198,1534,2957,927,765,1750,
16,5,15,1,2852,1441,976,1752,1253,815,
30,5,17,1,2517,2983,6830,5214,1283,1974,
49,5,19,1,1363,1928,2093,1745,3586,1804,
54,5,21,1,1885,4214,2704,1564,1984,1890,
39,5,23,1,236,636,4634,3373,3861,1802,
56,5,25,1,1656,2309,3595,2418,690,1018,
48,5,27,1,2085,1851,1649,1239,1368,1696,
15,5,29,1,4896,1755,1039,1478,2945,1072,
45,5,31,1,3511,5177,569,169,880,1340,
11,6,1,1,2249,3067,2585,2086,1426,2918,
55,6,3,1,2013,1304,2741,1832,1180,2523,
41,6,5,1,2161,2276,1530,2711,1225,1765,
34,6,7,1,2201,2743,2106,2287,1853,2597,
19,6,9,1,3598,2582,1397,788,1868,2340,
18,6,11,1,3240,2851,2448,1981,2414,2561,
29,6,13,1,4543,2425,4703,4180,2021,1780,
66,6,15,1,1587,2731,1662,1265,1736,1159,
59,6,17,1,1584,4462,2749,2191,655,3017,
26,6,19,1,2106,3292,2398,1741,1996,2562,
52,6,21,1,2493,1387,2086,2270,1371,2657,
64,6,23,1,2071,2089,2027,1713,1105,2217,
27,6,25,1,3801,3824,3831,4389,2316,2745,
54,6,27,1,2211,4241,2101,1481,1400,1900,
13,6,29,1,4648,2449,3223,1331,2544,3107,
6,6,31,1,3052,1962,2815,2370,1878,2368,
43,7,1,1,1620,2209,1596,1557,1987,2772,123
65,7,3,1,2956,2638,1708,2339,889,2074,
